    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.540050e+01         2.540050e+01         0.000000e+00
           2         2.192807e+01         2.366429e+01         1.227688e+00
           3         2.526897e+01         2.419918e+01         9.276935e-01
           4         2.362608e+01         2.405590e+01         7.067475e-01
           5         2.298874e+01         2.384247e+01         5.967562e-01
           6         2.677965e+01         2.433200e+01         6.685837e-01
           7         2.090799e+01         2.384286e+01         7.304061e-01
           8         2.553614e+01         2.405452e+01         6.690708e-01
           9         2.526317e+01         2.418881e+01         6.080580e-01
          10         2.374055e+01         2.414399e+01         5.489020e-01
          11         2.159730e+01         2.391247e+01         5.456465e-01
          12         2.575413e+01         2.406594e+01         5.213127e-01
          13         2.326014e+01         2.400396e+01         4.848827e-01
          14         2.409968e+01         2.401079e+01         4.502964e-01
          15         2.234843e+01         2.389997e+01         4.336999e-01
          16         2.412442e+01         2.391400e+01         4.068205e-01
          17         2.280864e+01         2.384898e+01         3.880512e-01
          18         2.470636e+01         2.389661e+01         3.694046e-01
          19         2.238975e+01         2.381730e+01         3.583747e-01
          20         2.301820e+01         2.377735e+01         3.426760e-01
