    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.072831e+01         1.072831e+01         0.000000e+00
           2         1.062082e+01         1.067457e+01         3.800150e-02
           3         1.084335e+01         1.073083e+01         5.246111e-02
           4         1.076971e+01         1.074055e+01         4.023622e-02
           5         1.078795e+01         1.075003e+01         3.328723e-02
           6         1.058044e+01         1.072176e+01         3.788424e-02
           7         1.075902e+01         1.072709e+01         3.284400e-02
           8         1.066683e+01         1.071955e+01         2.958963e-02
           9         1.057859e+01         1.070389e+01         3.016354e-02
          10         1.068720e+01         1.070222e+01         2.719334e-02
          11         1.069950e+01         1.070198e+01         2.472234e-02
          12         1.068997e+01         1.070098e+01         2.268238e-02
          13         1.085645e+01         1.071293e+01         2.388325e-02
          14         1.082531e+01         1.072096e+01         2.348737e-02
          15         1.052798e+01         1.070810e+01         2.519987e-02
          16         1.080332e+01         1.071405e+01         2.431755e-02
          17         1.075349e+01         1.071637e+01         2.299754e-02
          18         1.057856e+01         1.070871e+01         2.295892e-02
          19         1.052280e+01         1.069893e+01         2.374420e-02
          20         1.060904e+01         1.069443e+01         2.297837e-02
