    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.359820e+01         1.359820e+01         0.000000e+00
           2         1.359578e+01         1.359699e+01         8.582176e-04
           3         1.358666e+01         1.359355e+01         2.869839e-03
           4         1.398646e+01         1.369178e+01         8.509673e-02
           5         1.357966e+01         1.366935e+01         7.097000e-02
           6         1.359315e+01         1.365665e+01         6.026749e-02
           7         1.370321e+01         1.366330e+01         5.202351e-02
           8         1.344339e+01         1.363581e+01         5.228125e-02
           9         1.368200e+01         1.364094e+01         4.672337e-02
          10         1.337481e+01         1.361433e+01         4.904820e-02
          11         1.364099e+01         1.361675e+01         4.464911e-02
          12         1.369630e+01         1.362338e+01         4.141748e-02
          13         1.368253e+01         1.362793e+01         3.848059e-02
          14         1.362920e+01         1.362802e+01         3.573208e-02
          15         1.345394e+01         1.361642e+01         3.518422e-02
          16         1.376408e+01         1.362565e+01         3.417421e-02
          17         1.340888e+01         1.361290e+01         3.446074e-02
          18         1.372352e+01         1.361904e+01         3.308971e-02
          19         1.334285e+01         1.360451e+01         3.439321e-02
          20         1.370247e+01         1.360940e+01         3.302048e-02
