    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         7.425800e+00         7.425800e+00         0.000000e+00
           2         8.238400e+00         7.832100e+00         2.872975e-01
           3         6.171100e+00         7.278433e+00         4.909673e-01
           4         7.191800e+00         7.256775e+00         3.687029e-01
           5         6.449300e+00         7.095280e+00         3.284315e-01
           6         8.521500e+00         7.332983e+00         3.492758e-01
           7         7.212000e+00         7.315700e+00         2.998065e-01
           8         6.391800e+00         7.200213e+00         2.837034e-01
           9         7.410600e+00         7.223589e+00         2.531420e-01
          10         7.364200e+00         7.237650e+00         2.282180e-01
          11         8.290100e+00         7.333327e+00         2.266410e-01
          12         6.028600e+00         7.224600e+00         2.323753e-01
          13         8.184700e+00         7.298454e+00         2.259319e-01
          14         7.890000e+00         7.340707e+00         2.137084e-01
          15         7.084100e+00         7.323600e+00         2.001447e-01
          16         7.663000e+00         7.344812e+00         1.887564e-01
          17         7.605900e+00         7.360171e+00         1.782768e-01
          18         7.198900e+00         7.351211e+00         1.685975e-01
          19         7.122400e+00         7.339168e+00         1.601535e-01
          20         6.992600e+00         7.321840e+00         1.530804e-01
