    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.714300e+00         1.714300e+00         0.000000e+00
           2         2.414500e+00         2.064400e+00         2.475581e-01
           3         2.063900e+00         2.064233e+00         1.650388e-01
           4         1.860500e+00         2.013300e+00         1.314036e-01
           5         2.149400e+00         2.040520e+00         1.079054e-01
           6         2.002200e+00         2.034133e+00         9.010995e-02
           7         1.966900e+00         2.024529e+00         7.774730e-02
           8         2.038700e+00         2.026300e+00         6.804906e-02
           9         1.679600e+00         1.987778e+00         7.055410e-02
          10         2.095400e+00         1.998540e+00         6.431428e-02
          11         2.250300e+00         2.021427e+00         6.240720e-02
          12         2.066600e+00         2.025192e+00         5.732002e-02
          13         2.367300e+00         2.051508e+00         5.864139e-02
          14         2.146500e+00         2.058293e+00         5.484386e-02
          15         1.998100e+00         2.054280e+00         5.133420e-02
          16         2.169300e+00         2.061469e+00         4.862656e-02
          17         1.966600e+00         2.055888e+00         4.608528e-02
          18         2.609900e+00         2.086667e+00         5.281200e-02
          19         2.277100e+00         2.096689e+00         5.097463e-02
          20         2.236700e+00         2.103690e+00         4.890424e-02
