    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.711100e+00         1.711100e+00         0.000000e+00
           2         1.595700e+00         1.653400e+00         4.080006e-02
           3         1.274600e+00         1.527133e+00         1.066241e-01
           4         1.594900e+00         1.544075e+00         8.130285e-02
           5         1.175200e+00         1.470300e+00         9.265365e-02
           6         1.164900e+00         1.419400e+00         9.011440e-02
           7         1.256400e+00         1.396114e+00         8.019303e-02
           8         1.354400e+00         1.390900e+00         7.033822e-02
           9         1.484700e+00         1.401322e+00         6.329030e-02
          10         1.291400e+00         1.390330e+00         5.790796e-02
          11         1.394500e+00         1.390709e+00         5.264484e-02
          12         1.615500e+00         1.409442e+00         5.148281e-02
          13         1.217500e+00         1.394677e+00         4.959461e-02
          14         1.700900e+00         1.416550e+00         5.064639e-02
          15         1.317900e+00         1.409973e+00         4.769506e-02
          16         1.445700e+00         1.412206e+00         4.476636e-02
          17         1.239400e+00         1.402041e+00         4.327174e-02
          18         1.130700e+00         1.386967e+00         4.341417e-02
          19         1.461400e+00         1.390884e+00         4.130559e-02
          20         1.242300e+00         1.383455e+00         3.990282e-02
