    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         4.271830e+01         4.271830e+01         0.000000e+00
           2         4.302250e+01         4.287040e+01         1.075509e-01
           3         4.482240e+01         4.352107e+01         5.360837e-01
           4         4.611990e+01         4.417077e+01         6.915527e-01
           5         4.516760e+01         4.437014e+01         5.812693e-01
           6         4.491110e+01         4.446030e+01         4.913337e-01
           7         4.640210e+01         4.473770e+01         4.932741e-01
           8         4.506370e+01         4.477845e+01         4.332948e-01
           9         4.692410e+01         4.501686e+01         4.459408e-01
          10         4.363090e+01         4.487826e+01         4.223352e-01
          11         4.710030e+01         4.508026e+01         4.295424e-01
          12         4.693860e+01         4.523513e+01         4.207379e-01
          13         4.184030e+01         4.497398e+01         4.623662e-01
          14         4.764120e+01         4.516450e+01         4.669437e-01
          15         4.554620e+01         4.518995e+01         4.365069e-01
          16         4.718340e+01         4.531454e+01         4.266357e-01
          17         4.492150e+01         4.529142e+01         4.021654e-01
          18         4.636990e+01         4.535133e+01         3.842602e-01
          19         4.785750e+01         4.548324e+01         3.860117e-01
          20         4.162650e+01         4.529040e+01         4.120725e-01
