    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         2.388630e+01         2.388630e+01         0.000000e+00
           2         2.344820e+01         2.366725e+01         1.548917e-01
           3         2.204210e+01         2.312553e+01         4.542035e-01
           4         2.000500e+01         2.234540e+01         7.566375e-01
           5         2.134070e+01         2.214446e+01         6.314283e-01
           6         2.220880e+01         2.215518e+01         5.262813e-01
           7         2.067600e+01         2.194387e+01         4.916944e-01
           8         2.238380e+01         2.199886e+01         4.332968e-01
           9         1.928430e+01         2.169724e+01         4.787566e-01
          10         1.916180e+01         2.144370e+01         4.934721e-01
          11         2.025430e+01         2.133557e+01         4.603047e-01
          12         2.224870e+01         2.141167e+01         4.281894e-01
          13         2.274810e+01         2.151447e+01         4.074057e-01
          14         2.281110e+01         2.160709e+01         3.886901e-01
          15         2.331930e+01         2.172123e+01         3.791682e-01
          16         2.306540e+01         2.180524e+01         3.646583e-01
          17         2.144200e+01         2.178388e+01         3.438333e-01
          18         2.368940e+01         2.188974e+01         3.406387e-01
          19         2.193640e+01         2.189219e+01         3.227192e-01
          20         2.157860e+01         2.187652e+01         3.069639e-01
