    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
         110        -4.616892e-01        -4.468689e-01         4.155035e-03
         111        -4.662238e-01        -4.470433e-01         4.121259e-03
         112        -3.881819e-01        -4.465178e-01         4.117835e-03
         113        -4.635107e-01        -4.466681e-01         4.084139e-03
         114        -4.240383e-01        -4.464696e-01         4.053135e-03
         115        -4.761222e-01        -4.467275e-01         4.026084e-03
         116        -4.996999e-01        -4.471841e-01         4.017191e-03
         117        -3.433861e-01        -4.462970e-01         4.079641e-03
         118        -3.307712e-01        -4.453179e-01         4.160884e-03
         119        -4.405802e-01        -4.452781e-01         4.126109e-03
         120        -4.788644e-01        -4.455580e-01         4.101206e-03
         121        -4.791727e-01        -4.458358e-01         4.076710e-03
         122        -3.982288e-01        -4.454456e-01         4.061928e-03
         123        -4.539329e-01        -4.455146e-01         4.029490e-03
         124        -3.575980e-01        -4.448056e-01         4.058891e-03
         125        -4.450024e-01        -4.448072e-01         4.026420e-03
         126        -4.289044e-01        -4.446810e-01         3.996442e-03
         127        -3.917988e-01        -4.442646e-01         3.986607e-03
         128        -4.844118e-01        -4.445782e-01         3.967781e-03
         129        -4.032907e-01        -4.442582e-01         3.949911e-03
         130        -4.478773e-01        -4.442860e-01         3.919625e-03
         131        -4.029029e-01        -4.439701e-01         3.902413e-03
         132        -4.865359e-01        -4.442926e-01         3.886150e-03
         133        -4.529908e-01        -4.443580e-01         3.857481e-03
         134        -4.750325e-01        -4.445869e-01         3.835480e-03
         135        -4.776071e-01        -4.448315e-01         3.814860e-03
         136        -4.534189e-01        -4.448946e-01         3.787332e-03
         137        -4.766357e-01        -4.451263e-01         3.766768e-03
         138        -5.215170e-01        -4.456799e-01         3.779928e-03
         139        -4.641826e-01        -4.458130e-01         3.755077e-03
         140        -4.400217e-01        -4.457716e-01         3.728483e-03
         141        -4.655733e-01        -4.459120e-01         3.704684e-03
         142        -4.858868e-01        -4.461936e-01         3.689275e-03
         143        -4.431940e-01        -4.461726e-01         3.663535e-03
         144        -3.027458e-01        -4.451766e-01         3.771060e-03
         145        -4.798967e-01        -4.454160e-01         3.752647e-03
         146        -4.709432e-01        -4.455909e-01         3.731015e-03
         147        -4.567138e-01        -4.456665e-01         3.706401e-03
         148        -5.416270e-01        -4.463149e-01         3.737640e-03
         149        -4.254176e-01        -4.461746e-01         3.715186e-03
         150        -4.901976e-01        -4.464681e-01         3.701992e-03
         151        -4.043191e-01        -4.461890e-01         3.687984e-03
         152        -4.503675e-01        -4.462165e-01         3.663823e-03
         153        -4.494252e-01        -4.462375e-01         3.639937e-03
         154        -3.817018e-01        -4.458184e-01         3.640344e-03
         155        -3.060720e-01        -4.449168e-01         3.726833e-03
         156        -4.141074e-01        -4.447193e-01         3.708172e-03
         157        -4.440076e-01        -4.447148e-01         3.684556e-03
         158        -3.971177e-01        -4.444135e-01         3.673530e-03
         159        -3.601800e-01        -4.438838e-01         3.688428e-03
         160        -4.817322e-01        -4.441203e-01         3.672953e-03
         161        -4.539657e-01        -4.441815e-01         3.650649e-03
         162        -3.405190e-01        -4.435416e-01         3.683768e-03
         163        -4.661140e-01        -4.436801e-01         3.663770e-03
         164        -4.959723e-01        -4.439989e-01         3.655278e-03
         165        -4.593286e-01        -4.440918e-01         3.634306e-03
         166        -4.900436e-01        -4.443686e-01         3.622939e-03
         167        -4.363668e-01        -4.443207e-01         3.601562e-03
         168        -4.704345e-01        -4.444762e-01         3.583477e-03
         169        -4.723729e-01        -4.446412e-01         3.566073e-03
         170        -4.104650e-01        -4.444402e-01         3.550758e-03
         171        -4.849873e-01        -4.446773e-01         3.537902e-03
         172        -5.039908e-01        -4.450222e-01         3.534099e-03
         173        -4.473360e-01        -4.450355e-01         3.513696e-03
         174        -3.724138e-01        -4.446182e-01         3.518203e-03
         175        -4.711685e-01        -4.447699e-01         3.501369e-03
         176        -4.358429e-01        -4.447192e-01         3.481842e-03
         177        -4.132785e-01        -4.445415e-01         3.466698e-03
         178        -4.977002e-01        -4.448402e-01         3.460062e-03
         179        -2.583411e-01        -4.437983e-01         3.594178e-03
         180        -4.518967e-01        -4.438433e-01         3.574492e-03
         181        -4.444981e-01        -4.438469e-01         3.554746e-03
         182        -4.423949e-01        -4.438389e-01         3.535223e-03
         183        -4.736038e-01        -4.440016e-01         3.519644e-03
         184        -4.816016e-01        -4.442059e-01         3.506443e-03
         185        -4.698792e-01        -4.443447e-01         3.490234e-03
         186        -3.628332e-01        -4.439065e-01         3.498874e-03
         187        -4.739996e-01        -4.440674e-01         3.483862e-03
         188        -4.411335e-01        -4.440518e-01         3.465366e-03
         189        -3.892193e-01        -4.437617e-01         3.459154e-03
         190        -4.484550e-01        -4.437864e-01         3.441036e-03
         191        -4.021527e-01        -4.435684e-01         3.429917e-03
         192        -4.027110e-01        -4.433556e-01         3.418648e-03
         193        -4.520911e-01        -4.434008e-01         3.401234e-03
         194        -4.574473e-01        -4.434732e-01         3.384472e-03
         195        -4.378826e-01        -4.434446e-01         3.367238e-03
         196        -3.825907e-01        -4.431341e-01         3.364341e-03
         197        -4.333425e-01        -4.430844e-01         3.347631e-03
         198        -3.451911e-01        -4.425900e-01         3.367035e-03
         199        -4.746032e-01        -4.427509e-01         3.353956e-03
         200        -4.408475e-01        -4.427413e-01         3.337200e-03
         201        -4.388502e-01        -4.427220e-01         3.320653e-03
         202        -3.751881e-01        -4.423877e-01         3.321002e-03
         203        -4.189249e-01        -4.422721e-01         3.306653e-03
         204        -4.502365e-01        -4.423111e-01         3.290674e-03
         205        -4.385457e-01        -4.422927e-01         3.274673e-03
         206        -4.688244e-01        -4.424215e-01         3.261309e-03
         207        -4.803756e-01        -4.426049e-01         3.250703e-03
         208        -4.174552e-01        -4.424840e-01         3.237323e-03
         209        -4.491933e-01        -4.425161e-01         3.221993e-03
         210        -4.966867e-01        -4.427740e-01         3.216959e-03
         211        -4.811896e-01        -4.429561e-01         3.206861e-03
         212        -4.401120e-01        -4.429427e-01         3.191762e-03
         213        -4.520575e-01        -4.429855e-01         3.177064e-03
         214        -4.735894e-01        -4.431285e-01         3.165435e-03
         215        -4.599953e-01        -4.432069e-01         3.151684e-03
         216        -4.601569e-01        -4.432854e-01         3.138070e-03
         217        -4.604241e-01        -4.433644e-01         3.124602e-03
         218        -4.841509e-01        -4.435515e-01         3.115866e-03
         219        -4.665345e-01        -4.436564e-01         3.103405e-03
         220        -4.963778e-01        -4.438961e-01         3.098537e-03
         221        -4.769715e-01        -4.440457e-01         3.088129e-03
         222        -4.513573e-01        -4.440787e-01         3.074394e-03
         223        -4.711987e-01        -4.442003e-01         3.063012e-03
         224        -4.917170e-01        -4.444124e-01         3.056674e-03
         225        -4.571571e-01        -4.444691e-01         3.043614e-03
         226        -4.971873e-01        -4.447023e-01         3.039072e-03
         227        -4.665501e-01        -4.447986e-01         3.027208e-03
         228        -4.378353e-01        -4.447680e-01         3.014085e-03
         229        -3.832696e-01        -4.444995e-01         3.012863e-03
         230        -4.730164e-01        -4.446235e-01         3.002314e-03
         231        -4.420924e-01        -4.446125e-01         2.989337e-03
         232        -4.858486e-01        -4.447902e-01         2.981731e-03
         233        -4.555309e-01        -4.448363e-01         2.969290e-03
         234        -4.960833e-01        -4.450553e-01         2.964666e-03
         235        -4.373272e-01        -4.450225e-01         2.952233e-03
         236        -4.612517e-01        -4.450912e-01         2.940525e-03
         237        -4.687678e-01        -4.451911e-01         2.929814e-03
         238        -4.786995e-01        -4.453319e-01         2.920885e-03
         239        -4.136353e-01        -4.451993e-01         2.911673e-03
         240        -4.726920e-01        -4.453139e-01         2.901793e-03
         241        -4.343533e-01        -4.452684e-01         2.890109e-03
         242        -4.424503e-01        -4.452567e-01         2.878190e-03
         243        -5.142232e-01        -4.455405e-01         2.880304e-03
         244        -4.051940e-01        -4.453752e-01         2.873242e-03
         245        -4.263160e-01        -4.452974e-01         2.862568e-03
         246        -4.934876e-01        -4.454933e-01         2.857626e-03
         247        -4.382246e-01        -4.454639e-01         2.846209e-03
         248        -4.840545e-01        -4.456195e-01         2.838982e-03
         249        -4.307300e-01        -4.455597e-01         2.828211e-03
         250        -4.394475e-01        -4.455352e-01         2.817003e-03
         251        -4.352993e-01        -4.454944e-01         2.806075e-03
         252        -4.844769e-01        -4.456491e-01         2.799201e-03
         253        -4.897704e-01        -4.458235e-01         2.793564e-03
         254        -4.414116e-01        -4.458062e-01         2.782620e-03
         255        -4.654515e-01        -4.458832e-01         2.772774e-03
         256        -4.162952e-01        -4.457676e-01         2.764350e-03
         257        -4.713158e-01        -4.458670e-01         2.755381e-03
         258        -4.556151e-01        -4.459048e-01         2.744960e-03
         259        -3.797191e-01        -4.456493e-01         2.746231e-03
         260        -3.283100e-01        -4.451980e-01         2.772504e-03
         261        -4.486903e-01        -4.452113e-01         2.761913e-03
         262        -4.676020e-01        -4.452968e-01         2.752693e-03
         263        -4.652718e-01        -4.453728e-01         2.743274e-03
         264        -1.452348e-01        -4.442359e-01         2.959099e-03
         265        -4.636536e-01        -4.443091e-01         2.948839e-03
         266        -4.450059e-01        -4.443118e-01         2.937755e-03
         267        -4.304371e-01        -4.442598e-01         2.927212e-03
         268        -4.500680e-01        -4.442815e-01         2.916369e-03
         269        -4.760657e-01        -4.443996e-01         2.907920e-03
         270        -4.142987e-01        -4.442881e-01         2.899287e-03
         271        -4.135925e-01        -4.441749e-01         2.890800e-03
         272        -4.431998e-01        -4.441713e-01         2.880174e-03
         273        -3.888465e-01        -4.439686e-01         2.876745e-03
         274        -4.503161e-01        -4.439918e-01         2.866339e-03
         275        -4.905911e-01        -4.441613e-01         2.860920e-03
         276        -4.464044e-01        -4.441694e-01         2.850566e-03
         277        -4.683608e-01        -4.442567e-01         2.841613e-03
         278        -4.261472e-01        -4.441916e-01         2.832138e-03
         279        -4.626976e-01        -4.442579e-01         2.822763e-03
         280        -4.542100e-01        -4.442934e-01         2.812906e-03
         281        -4.646228e-01        -4.443658e-01         2.803826e-03
         282        -4.429872e-01        -4.443609e-01         2.793887e-03
         283        -4.934261e-01        -4.445343e-01         2.789389e-03
         284        -4.538560e-01        -4.445671e-01         2.779761e-03
         285        -4.762909e-01        -4.446784e-01         2.772235e-03
         286        -3.088969e-01        -4.442037e-01         2.802900e-03
         287        -4.695807e-01        -4.442921e-01         2.794528e-03
         288        -4.487134e-01        -4.443074e-01         2.784867e-03
         289        -4.889193e-01        -4.444618e-01         2.779505e-03
         290        -4.335200e-01        -4.444241e-01         2.770177e-03
         291        -4.311131e-01        -4.443783e-01         2.761035e-03
         292        -4.276035e-01        -4.443209e-01         2.752177e-03
         293        -4.603434e-01        -4.443756e-01         2.743327e-03
         294        -4.959124e-01        -4.445509e-01         2.739591e-03
         295        -3.597147e-01        -4.442633e-01         2.745357e-03
         296        -4.476949e-01        -4.442749e-01         2.736106e-03
         297        -4.649878e-01        -4.443446e-01         2.727783e-03
         298        -4.550530e-01        -4.443805e-01         2.718866e-03
         299        -4.508510e-01        -4.444022e-01         2.709858e-03
         300        -4.311341e-01        -4.443580e-01         2.701187e-03
         301        -4.569858e-01        -4.443999e-01         2.692538e-03
         302        -4.204932e-01        -4.443207e-01         2.684786e-03
         303        -4.258409e-01        -4.442598e-01         2.676618e-03
         304        -4.455548e-01        -4.442640e-01         2.667817e-03
         305        -4.525042e-01        -4.442910e-01         2.659207e-03
         306        -4.784852e-01        -4.444028e-01         2.652863e-03
         307        -4.708167e-01        -4.444888e-01         2.645617e-03
         308        -4.037536e-01        -4.443566e-01         2.640331e-03
         309        -4.279946e-01        -4.443036e-01         2.632317e-03
         310        -4.030959e-01        -4.441707e-01         2.627180e-03
         311        -4.591274e-01        -4.442188e-01         2.619173e-03
         312        -4.281295e-01        -4.441672e-01         2.611285e-03
         313        -4.117889e-01        -4.440638e-01         2.604991e-03
         314        -4.796434e-01        -4.441771e-01         2.599158e-03
         315        -4.504438e-01        -4.441970e-01         2.590983e-03
         316        -4.949921e-01        -4.443577e-01         2.587765e-03
         317        -4.779304e-01        -4.444636e-01         2.581768e-03
         318        -3.983070e-01        -4.443185e-01         2.577726e-03
         319        -4.326823e-01        -4.442820e-01         2.569903e-03
         320        -4.698516e-01        -4.443619e-01         2.563114e-03
         321        -3.440144e-01        -4.440493e-01         2.574123e-03
         322        -4.966830e-01        -4.442127e-01         2.571313e-03
         323        -4.446943e-01        -4.442142e-01         2.563353e-03
         324        -3.791404e-01        -4.440134e-01         2.563297e-03
         325        -4.082506e-01        -4.439034e-01         2.557771e-03
         326        -4.131837e-01        -4.438091e-01         2.551660e-03
