    #T:              ACCEPTANCE:
2.726150e-01         4.000000e-01
2.707106e-01         5.000000e-01
2.688195e-01         6.000000e-01
2.669417e-01         4.000000e-01
2.650769e-01         6.000000e-01
2.632252e-01         3.000000e-01
2.613865e-01         4.000000e-01
2.595605e-01         4.000000e-01
2.577473e-01         7.000000e-01
2.559468e-01         4.000000e-01
2.541589e-01         8.000000e-01
2.523835e-01         6.000000e-01
2.506204e-01         6.000000e-01
2.488697e-01         7.000000e-01
2.471312e-01         6.000000e-01
2.454048e-01         5.000000e-01
2.436906e-01         5.000000e-01
2.419882e-01         2.000000e-01
2.402978e-01         4.000000e-01
2.386192e-01         8.000000e-01
2.369523e-01         4.000000e-01
2.352971e-01         3.000000e-01
2.336534e-01         4.000000e-01
2.320212e-01         5.000000e-01
2.304004e-01         0.000000e+00
2.287909e-01         2.000000e-01
2.271927e-01         3.000000e-01
2.256056e-01         4.000000e-01
2.240296e-01         4.000000e-01
2.224647e-01         5.000000e-01
2.209106e-01         1.000000e-01
2.193674e-01         5.000000e-01
2.178350e-01         1.000000e-01
2.163133e-01         5.000000e-01
2.148023e-01         4.000000e-01
2.133017e-01         3.000000e-01
2.118117e-01         1.000000e-01
2.103321e-01         5.000000e-01
2.088628e-01         2.000000e-01
2.074038e-01         4.000000e-01
2.059549e-01         4.000000e-01
2.045162e-01         4.000000e-01
2.030876e-01         5.000000e-01
2.016689e-01         5.000000e-01
2.002601e-01         0.000000e+00
1.988612e-01         1.000000e-01
1.974720e-01         4.000000e-01
1.960926e-01         3.000000e-01
1.947228e-01         3.000000e-01
1.933625e-01         6.000000e-01
1.920118e-01         1.000000e-01
1.906705e-01         4.000000e-01
1.893385e-01         3.000000e-01
1.880159e-01         5.000000e-01
1.867025e-01         7.000000e-01
1.853983e-01         1.000000e-01
1.841031e-01         3.000000e-01
1.828171e-01         1.000000e-01
1.815400e-01         6.000000e-01
1.802718e-01         2.000000e-01
1.790125e-01         2.000000e-01
1.777620e-01         4.000000e-01
1.765203e-01         3.000000e-01
1.752872e-01         4.000000e-01
1.740627e-01         2.000000e-01
1.728468e-01         3.000000e-01
1.716393e-01         2.000000e-01
1.704403e-01         0.000000e+00
1.692497e-01         1.000000e-01
1.680674e-01         2.000000e-01
1.668934e-01         2.000000e-01
1.657275e-01         1.000000e-01
1.645698e-01         2.000000e-01
1.634202e-01         0.000000e+00
1.622786e-01         3.000000e-01
1.611450e-01         4.000000e-01
1.600193e-01         5.000000e-01
1.589015e-01         4.000000e-01
1.577915e-01         2.000000e-01
1.566892e-01         3.000000e-01
1.555947e-01         6.000000e-01
1.545078e-01         6.000000e-01
1.534284e-01         1.000000e-01
1.523567e-01         4.000000e-01
1.512924e-01         4.000000e-01
1.502355e-01         5.000000e-01
1.491860e-01         3.000000e-01
1.481439e-01         5.000000e-01
1.471090e-01         7.000000e-01
1.460814e-01         5.000000e-01
1.450609e-01         3.000000e-01
1.440476e-01         2.000000e-01
1.430413e-01         0.000000e+00
1.420421e-01         5.000000e-01
1.410498e-01         3.000000e-01
1.400645e-01         3.000000e-01
1.390861e-01         4.000000e-01
1.381145e-01         4.000000e-01
1.371497e-01         5.000000e-01
1.361916e-01         0.000000e+00
1.352403e-01         2.000000e-01
1.342955e-01         4.000000e-01
1.333574e-01         3.000000e-01
1.324258e-01         4.000000e-01
1.315008e-01         0.000000e+00
1.305821e-01         2.000000e-01
1.296700e-01         1.000000e-01
1.287641e-01         1.000000e-01
1.278646e-01         3.000000e-01
1.269714e-01         3.000000e-01
1.260845e-01         7.000000e-01
1.252037e-01         3.000000e-01
1.243291e-01         1.000000e-01
1.234606e-01         1.000000e-01
1.225981e-01         5.000000e-01
1.217417e-01         2.000000e-01
1.208913e-01         2.000000e-01
1.200468e-01         2.000000e-01
1.192082e-01         2.000000e-01
1.183755e-01         1.000000e-01
1.175485e-01         4.000000e-01
1.167274e-01         3.000000e-01
1.159120e-01         6.000000e-01
1.151023e-01         2.000000e-01
1.142982e-01         4.000000e-01
1.134998e-01         3.000000e-01
1.127069e-01         3.000000e-01
1.119196e-01         7.000000e-01
1.111378e-01         4.000000e-01
1.103614e-01         3.000000e-01
1.095905e-01         4.000000e-01
1.088249e-01         2.000000e-01
1.080647e-01         0.000000e+00
1.073098e-01         5.000000e-01
1.065602e-01         1.000000e-01
1.058158e-01         2.000000e-01
1.050767e-01         1.000000e-01
1.043426e-01         2.000000e-01
1.036137e-01         3.000000e-01
1.028899e-01         2.000000e-01
1.021712e-01         0.000000e+00
1.014575e-01         2.000000e-01
1.007487e-01         2.000000e-01
1.000450e-01         0.000000e+00
9.934608e-02         0.000000e+00
9.865210e-02         0.000000e+00
9.796296e-02         1.000000e-01
9.727863e-02         0.000000e+00
9.659908e-02         1.000000e-01
9.592428e-02         0.000000e+00
9.525420e-02         1.000000e-01
9.458879e-02         2.000000e-01
9.392804e-02         1.000000e-01
9.327190e-02         4.000000e-01
9.262034e-02         4.000000e-01
9.197334e-02         1.000000e-01
9.133085e-02         3.000000e-01
9.069285e-02         1.000000e-01
9.005931e-02         0.000000e+00
8.943020e-02         3.000000e-01
8.880548e-02         3.000000e-01
8.818512e-02         4.000000e-01
8.756910e-02         1.000000e-01
8.695738e-02         3.000000e-01
8.634993e-02         2.000000e-01
8.574673e-02         4.000000e-01
8.514774e-02         3.000000e-01
8.455294e-02         2.000000e-01
8.396229e-02         5.000000e-01
8.337576e-02         2.000000e-01
8.279334e-02         3.000000e-01
8.221498e-02         4.000000e-01
8.164066e-02         3.000000e-01
8.107036e-02         0.000000e+00
8.050403e-02         3.000000e-01
7.994167e-02         4.000000e-01
7.938323e-02         3.000000e-01
7.882869e-02         5.000000e-01
7.827803e-02         2.000000e-01
7.773121e-02         1.000000e-01
7.718822e-02         2.000000e-01
7.664902e-02         3.000000e-01
7.611358e-02         2.000000e-01
7.558188e-02         5.000000e-01
7.505390e-02         1.000000e-01
7.452961e-02         0.000000e+00
7.400898e-02         0.000000e+00
7.349198e-02         0.000000e+00
7.297860e-02         0.000000e+00
7.246880e-02         1.000000e-01
7.196257e-02         0.000000e+00
7.145987e-02         0.000000e+00
7.096068e-02         2.000000e-01
7.046498e-02         2.000000e-01
6.997274e-02         3.000000e-01
6.948394e-02         3.000000e-01
6.899856e-02         2.000000e-01
6.851657e-02         1.000000e-01
6.803794e-02         3.000000e-01
6.756266e-02         2.000000e-01
6.709069e-02         0.000000e+00
6.662203e-02         1.000000e-01
6.615663e-02         1.000000e-01
6.569449e-02         0.000000e+00
6.523558e-02         1.000000e-01
6.477987e-02         3.000000e-01
6.432735e-02         1.000000e-01
6.387799e-02         1.000000e-01
6.343176e-02         1.000000e-01
6.298866e-02         0.000000e+00
6.254864e-02         1.000000e-01
6.211171e-02         3.000000e-01
6.167782e-02         2.000000e-01
6.124697e-02         0.000000e+00
6.081912e-02         2.000000e-01
6.039427e-02         0.000000e+00
5.997238e-02         1.000000e-01
5.955344e-02         3.000000e-01
5.913742e-02         2.000000e-01
5.872432e-02         5.000000e-01
5.831409e-02         4.000000e-01
5.790674e-02         3.000000e-01
5.750223e-02         2.000000e-01
5.710054e-02         3.000000e-01
5.670166e-02         1.000000e-01
5.630557e-02         2.000000e-01
5.591224e-02         1.000000e-01
5.552166e-02         2.000000e-01
5.513381e-02         0.000000e+00
5.474867e-02         1.000000e-01
5.436622e-02         1.000000e-01
5.398644e-02         1.000000e-01
5.360932e-02         1.000000e-01
5.323483e-02         0.000000e+00
5.286295e-02         0.000000e+00
5.249367e-02         0.000000e+00
5.212698e-02         0.000000e+00
5.176284e-02         0.000000e+00
5.140125e-02         1.000000e-01
5.104218e-02         2.000000e-01
5.068562e-02         0.000000e+00
5.033156e-02         2.000000e-01
4.997996e-02         0.000000e+00
4.963082e-02         2.000000e-01
4.928412e-02         1.000000e-01
4.893985e-02         1.000000e-01
4.859797e-02         2.000000e-01
4.825849e-02         2.000000e-01
4.792138e-02         0.000000e+00
4.758662e-02         0.000000e+00
4.725420e-02         0.000000e+00
4.692410e-02         0.000000e+00
4.659631e-02         2.000000e-01
4.627081e-02         1.000000e-01
4.594758e-02         0.000000e+00
4.562661e-02         0.000000e+00
4.530789e-02         3.000000e-01
4.499138e-02         0.000000e+00
4.467709e-02         0.000000e+00
4.436500e-02         1.000000e-01
4.405509e-02         0.000000e+00
4.374734e-02         0.000000e+00
4.344174e-02         0.000000e+00
4.313827e-02         1.000000e-01
4.283693e-02         1.000000e-01
4.253769e-02         0.000000e+00
4.224054e-02         2.000000e-01
4.194546e-02         2.000000e-01
4.165245e-02         0.000000e+00
4.136148e-02         0.000000e+00
4.107255e-02         0.000000e+00
4.078564e-02         0.000000e+00
4.050073e-02         1.000000e-01
4.021780e-02         1.000000e-01
3.993686e-02         0.000000e+00
3.965788e-02         1.000000e-01
3.938085e-02         0.000000e+00
3.910575e-02         0.000000e+00
3.883257e-02         0.000000e+00
3.856131e-02         1.000000e-01
3.829193e-02         0.000000e+00
3.802444e-02         0.000000e+00
3.775882e-02         0.000000e+00
3.749505e-02         0.000000e+00
3.723313e-02         0.000000e+00
3.697304e-02         1.000000e-01
3.671476e-02         0.000000e+00
3.645829e-02         0.000000e+00
3.620360e-02         2.000000e-01
3.595070e-02         0.000000e+00
3.569957e-02         2.000000e-01
3.545018e-02         1.000000e-01
3.520254e-02         1.000000e-01
3.495664e-02         1.000000e-01
3.471244e-02         0.000000e+00
3.446996e-02         1.000000e-01
3.422917e-02         0.000000e+00
3.399006e-02         1.000000e-01
3.375262e-02         0.000000e+00
3.351683e-02         0.000000e+00
3.328270e-02         1.000000e-01
3.305020e-02         1.000000e-01
3.281933e-02         2.000000e-01
3.259007e-02         0.000000e+00
3.236241e-02         0.000000e+00
3.213634e-02         0.000000e+00
3.191185e-02         0.000000e+00
3.168892e-02         0.000000e+00
3.146756e-02         1.000000e-01
3.124774e-02         0.000000e+00
3.102946e-02         4.000000e-01
3.081270e-02         0.000000e+00
3.059746e-02         1.000000e-01
3.038372e-02         0.000000e+00
3.017147e-02         0.000000e+00
2.996070e-02         1.000000e-01
2.975141e-02         2.000000e-01
2.954358e-02         2.000000e-01
2.933720e-02         0.000000e+00
2.913227e-02         0.000000e+00
2.892876e-02         1.000000e-01
2.872668e-02         1.000000e-01
2.852600e-02         0.000000e+00
2.832673e-02         0.000000e+00
2.812886e-02         0.000000e+00
2.793236e-02         0.000000e+00
2.773724e-02         0.000000e+00
2.754348e-02         0.000000e+00
2.735107e-02         0.000000e+00
2.716001e-02         0.000000e+00
2.697028e-02         0.000000e+00
2.678188e-02         1.000000e-01
2.659479e-02         0.000000e+00
2.640901e-02         1.000000e-01
2.622453e-02         0.000000e+00
2.604134e-02         0.000000e+00
2.585942e-02         0.000000e+00
2.567878e-02         0.000000e+00
2.549940e-02         0.000000e+00
2.532127e-02         0.000000e+00
2.514439e-02         0.000000e+00
2.496874e-02         1.000000e-01
2.479432e-02         1.000000e-01
2.462112e-02         0.000000e+00
2.444913e-02         1.000000e-01
2.427833e-02         1.000000e-01
2.410874e-02         0.000000e+00
2.394032e-02         0.000000e+00
2.377309e-02         0.000000e+00
2.360702e-02         0.000000e+00
2.344211e-02         0.000000e+00
2.327835e-02         0.000000e+00
2.311574e-02         0.000000e+00
2.295427e-02         0.000000e+00
2.279392e-02         0.000000e+00
2.263469e-02         0.000000e+00
2.247657e-02         1.000000e-01
2.231956e-02         0.000000e+00
2.216365e-02         0.000000e+00
2.200882e-02         0.000000e+00
2.185508e-02         0.000000e+00
2.170241e-02         0.000000e+00
2.155080e-02         0.000000e+00
2.140026e-02         0.000000e+00
2.125077e-02         1.000000e-01
2.110232e-02         1.000000e-01
2.095491e-02         0.000000e+00
2.080852e-02         0.000000e+00
2.066316e-02         1.000000e-01
2.051882e-02         0.000000e+00
2.037549e-02         1.000000e-01
2.023315e-02         0.000000e+00
2.009181e-02         0.000000e+00
1.995146e-02         0.000000e+00
1.981209e-02         0.000000e+00
1.967369e-02         0.000000e+00
1.953626e-02         0.000000e+00
1.939978e-02         0.000000e+00
1.926427e-02         1.000000e-01
1.912969e-02         0.000000e+00
1.899606e-02         0.000000e+00
1.886336e-02         1.000000e-01
1.873159e-02         1.000000e-01
1.860074e-02         0.000000e+00
1.847081e-02         1.000000e-01
1.834178e-02         0.000000e+00
1.821365e-02         0.000000e+00
1.808642e-02         0.000000e+00
1.796007e-02         0.000000e+00
1.783461e-02         0.000000e+00
1.771003e-02         0.000000e+00
1.758631e-02         0.000000e+00
1.746346e-02         0.000000e+00
1.734147e-02         0.000000e+00
1.722033e-02         0.000000e+00
1.710004e-02         0.000000e+00
1.698058e-02         0.000000e+00
1.686196e-02         0.000000e+00
1.674417e-02         0.000000e+00
1.662721e-02         0.000000e+00
1.651106e-02         0.000000e+00
1.639572e-02         0.000000e+00
1.628118e-02         0.000000e+00
1.616745e-02         0.000000e+00
1.605451e-02         0.000000e+00
1.594236e-02         0.000000e+00
1.583100e-02         0.000000e+00
1.572041e-02         0.000000e+00
1.561059e-02         0.000000e+00
1.550154e-02         0.000000e+00
1.539326e-02         0.000000e+00
1.528572e-02         1.000000e-01
1.517895e-02         0.000000e+00
1.507291e-02         0.000000e+00
1.496762e-02         0.000000e+00
1.486306e-02         0.000000e+00
1.475924e-02         0.000000e+00
1.465613e-02         1.000000e-01
1.455375e-02         1.000000e-01
1.445209e-02         0.000000e+00
1.435113e-02         0.000000e+00
1.425088e-02         0.000000e+00
1.415133e-02         0.000000e+00
1.405247e-02         0.000000e+00
1.395431e-02         1.000000e-01
1.385683e-02         0.000000e+00
1.376003e-02         0.000000e+00
1.366391e-02         1.000000e-01
1.356846e-02         1.000000e-01
1.347368e-02         0.000000e+00
1.337956e-02         0.000000e+00
1.328609e-02         0.000000e+00
1.319328e-02         1.000000e-01
1.310112e-02         0.000000e+00
1.300960e-02         0.000000e+00
1.291872e-02         0.000000e+00
1.282848e-02         0.000000e+00
1.273886e-02         0.000000e+00
1.264988e-02         0.000000e+00
1.256151e-02         0.000000e+00
1.247376e-02         2.000000e-01
1.238662e-02         0.000000e+00
1.230010e-02         0.000000e+00
1.221417e-02         0.000000e+00
1.212885e-02         0.000000e+00
1.204412e-02         0.000000e+00
1.195999e-02         0.000000e+00
1.187644e-02         0.000000e+00
1.179348e-02         0.000000e+00
1.171109e-02         0.000000e+00
1.162928e-02         0.000000e+00
1.154805e-02         0.000000e+00
1.146738e-02         0.000000e+00
1.138727e-02         0.000000e+00
1.130773e-02         0.000000e+00
1.122873e-02         0.000000e+00
1.115030e-02         0.000000e+00
1.107240e-02         0.000000e+00
1.099506e-02         0.000000e+00
1.091825e-02         0.000000e+00
1.084198e-02         0.000000e+00
1.076624e-02         0.000000e+00
1.069103e-02         0.000000e+00
1.061635e-02         0.000000e+00
1.054219e-02         0.000000e+00
1.046855e-02         0.000000e+00
1.039542e-02         0.000000e+00
1.032280e-02         0.000000e+00
1.025069e-02         0.000000e+00
1.017908e-02         0.000000e+00
1.010798e-02         0.000000e+00
1.003737e-02         0.000000e+00
9.967251e-03         0.000000e+00
9.897624e-03         0.000000e+00
9.828483e-03         0.000000e+00
9.759826e-03         0.000000e+00
9.691648e-03         0.000000e+00
9.623946e-03         0.000000e+00
9.556718e-03         0.000000e+00
9.489959e-03         1.000000e-01
9.423666e-03         0.000000e+00
9.357836e-03         0.000000e+00
9.292467e-03         0.000000e+00
9.227553e-03         0.000000e+00
9.163094e-03         0.000000e+00
9.099084e-03         0.000000e+00
9.035522e-03         0.000000e+00
8.972404e-03         0.000000e+00
8.909727e-03         0.000000e+00
8.847487e-03         0.000000e+00
8.785683e-03         0.000000e+00
8.724310e-03         0.000000e+00
8.663365e-03         0.000000e+00
8.602847e-03         0.000000e+00
8.542751e-03         0.000000e+00
8.483075e-03         0.000000e+00
8.423816e-03         0.000000e+00
8.364971e-03         0.000000e+00
8.306537e-03         0.000000e+00
8.248511e-03         0.000000e+00
8.190891e-03         0.000000e+00
8.133673e-03         0.000000e+00
8.076855e-03         1.000000e-01
8.020433e-03         0.000000e+00
7.964406e-03         0.000000e+00
7.908770e-03         0.000000e+00
7.853523e-03         0.000000e+00
7.798662e-03         0.000000e+00
7.744184e-03         0.000000e+00
7.690086e-03         0.000000e+00
7.636367e-03         0.000000e+00
7.583022e-03         0.000000e+00
7.530051e-03         1.000000e-01
7.477449e-03         0.000000e+00
7.425215e-03         0.000000e+00
7.373345e-03         0.000000e+00
7.321838e-03         0.000000e+00
7.270691e-03         0.000000e+00
7.219901e-03         0.000000e+00
7.169466e-03         0.000000e+00
7.119384e-03         0.000000e+00
7.069651e-03         0.000000e+00
7.020265e-03         0.000000e+00
6.971225e-03         0.000000e+00
6.922527e-03         0.000000e+00
6.874169e-03         1.000000e-01
6.826149e-03         0.000000e+00
6.778465e-03         0.000000e+00
6.731113e-03         0.000000e+00
6.684093e-03         0.000000e+00
6.637400e-03         0.000000e+00
6.591035e-03         0.000000e+00
6.544992e-03         0.000000e+00
6.499272e-03         0.000000e+00
6.453871e-03         0.000000e+00
6.408787e-03         0.000000e+00
6.364018e-03         0.000000e+00
6.319562e-03         0.000000e+00
6.275416e-03         0.000000e+00
6.231579e-03         0.000000e+00
6.188048e-03         0.000000e+00
6.144821e-03         0.000000e+00
6.101896e-03         0.000000e+00
6.059270e-03         0.000000e+00
6.016943e-03         0.000000e+00
5.974911e-03         0.000000e+00
5.933173e-03         0.000000e+00
