    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.240197e+01         1.240197e+01         0.000000e+00
           2         1.254080e+01         1.247138e+01         4.908642e-02
           3         1.269171e+01         1.254483e+01         6.831286e-02
           4         1.272118e+01         1.258892e+01         6.389779e-02
           5         1.242158e+01         1.255545e+01         5.923746e-02
           6         1.241890e+01         1.253269e+01         5.355829e-02
           7         1.241204e+01         1.251545e+01         4.860155e-02
           8         1.253002e+01         1.251727e+01         4.256047e-02
           9         1.245739e+01         1.251062e+01         3.834811e-02
          10         1.244173e+01         1.250373e+01         3.512663e-02
          11         1.259806e+01         1.251231e+01         3.296332e-02
          12         1.246552e+01         1.250841e+01         3.044611e-02
          13         1.245830e+01         1.250455e+01         2.834706e-02
          14         1.245006e+01         1.250066e+01         2.658820e-02
          15         1.237901e+01         1.249255e+01         2.602311e-02
          16         1.264927e+01         1.250235e+01         2.617521e-02
          17         1.252124e+01         1.250346e+01         2.465908e-02
          18         1.258192e+01         1.250782e+01         2.367130e-02
          19         1.238686e+01         1.250145e+01         2.326572e-02
          20         1.240343e+01         1.249655e+01         2.261271e-02
