    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.792840e+01         1.792840e+01         0.000000e+00
           2         1.841907e+01         1.817373e+01         1.734781e-01
           3         1.439791e+01         1.691512e+01         1.034135e+00
           4         1.730429e+01         1.701242e+01         7.801646e-01
           5         1.511040e+01         1.663201e+01         7.108485e-01
           6         1.715492e+01         1.671916e+01         5.976924e-01
           7         1.699312e+01         1.675830e+01         5.135876e-01
           8         1.696772e+01         1.678448e+01         4.500557e-01
           9         1.646711e+01         1.674922e+01         4.014286e-01
          10         1.672919e+01         1.674721e+01         3.612908e-01
          11         1.663426e+01         1.673694e+01         3.285920e-01
          12         1.498016e+01         1.659055e+01         3.322253e-01
          13         1.857989e+01         1.674357e+01         3.400909e-01
          14         1.811160e+01         1.684129e+01         3.295380e-01
          15         1.534814e+01         1.674175e+01         3.222527e-01
          16         1.629615e+01         1.671390e+01         3.033129e-01
          17         1.365400e+01         1.653390e+01         3.346427e-01
          18         1.707873e+01         1.656417e+01         3.174173e-01
          19         1.740760e+01         1.660856e+01         3.037994e-01
          20         1.460323e+01         1.650829e+01         3.047066e-01
