    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.200478e+01         2.200478e+01         0.000000e+00
           2         2.089797e+01         2.145138e+01         3.913134e-01
           3         2.177355e+01         2.155877e+01         2.752175e-01
           4         2.273017e+01         2.185162e+01         3.269974e-01
           5         2.130786e+01         2.174286e+01         2.790969e-01
           6         2.177757e+01         2.174865e+01         2.326407e-01
           7         2.217348e+01         2.180934e+01         2.071713e-01
           8         2.121464e+01         2.173500e+01         1.941541e-01
           9         2.122578e+01         2.167842e+01         1.806376e-01
          10         2.270118e+01         2.178070e+01         1.893265e-01
          11         2.198877e+01         2.179961e+01         1.730573e-01
          12         2.233412e+01         2.184416e+01         1.642681e-01
          13         2.142272e+01         2.181174e+01         1.547979e-01
          14         2.218967e+01         2.183873e+01         1.460758e-01
          15         2.086849e+01         2.177405e+01         1.499762e-01
          16         2.230324e+01         2.180712e+01         1.442036e-01
          17         2.061176e+01         2.173681e+01         1.519000e-01
          18         2.230184e+01         2.176820e+01         1.466687e-01
          19         2.080642e+01         2.171758e+01         1.474259e-01
          20         2.238613e+01         2.175101e+01         1.437943e-01
