    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         7.289189e+01         7.289189e+01         0.000000e+00
           2         7.626705e+01         7.457947e+01         1.193299e+00
           3         7.551768e+01         7.489221e+01         8.355086e-01
           4         7.681053e+01         7.537179e+01         7.517739e-01
           5         7.462179e+01         7.522179e+01         6.162020e-01
           6         7.519421e+01         7.521719e+01         5.135188e-01
           7         7.652947e+01         7.540466e+01         4.731425e-01
           8         7.750189e+01         7.566682e+01         4.811755e-01
           9         7.775042e+01         7.589833e+01         4.801870e-01
          10         7.362695e+01         7.567119e+01         4.829099e-01
          11         7.574158e+01         7.567759e+01         4.390514e-01
          12         7.380326e+01         7.552139e+01         4.293490e-01
          13         7.448011e+01         7.544130e+01         4.037246e-01
          14         7.636863e+01         7.550753e+01         3.802821e-01
          15         7.460579e+01         7.544742e+01         3.596503e-01
          16         7.431779e+01         7.537682e+01         3.440322e-01
          17         7.510326e+01         7.536072e+01         3.241711e-01
          18         7.388495e+01         7.527874e+01         3.163597e-01
          19         7.439547e+01         7.523225e+01         3.031055e-01
          20         7.551842e+01         7.524656e+01         2.882877e-01
