    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         2.775487e+02         2.775487e+02         0.000000e+00
           2         2.804760e+02         2.790124e+02         1.034947e+00
           3         2.802365e+02         2.794204e+02         7.661987e-01
           4         2.862758e+02         2.811343e+02         1.591596e+00
           5         2.785518e+02         2.806178e+02         1.354491e+00
           6         2.829118e+02         2.810001e+02         1.181473e+00
           7         2.707507e+02         2.795359e+02         1.692086e+00
           8         2.842069e+02         2.801198e+02         1.578099e+00
           9         2.852362e+02         2.806883e+02         1.501662e+00
          10         2.731758e+02         2.799370e+02         1.527899e+00
          11         2.783867e+02         2.797961e+02         1.395484e+00
          12         2.748153e+02         2.793810e+02         1.339501e+00
          13         2.774805e+02         2.792348e+02         1.244414e+00
          14         2.949098e+02         2.803545e+02         1.580917e+00
          15         2.841020e+02         2.806043e+02         1.495133e+00
          16         2.692889e+02         2.798971e+02         1.560006e+00
          17         2.792875e+02         2.798612e+02         1.468653e+00
          18         2.778924e+02         2.797519e+02         1.391128e+00
          19         2.686658e+02         2.791684e+02         1.435066e+00
          20         2.839204e+02         2.794060e+02         1.382842e+00
