    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         1.504626e+02         1.504626e+02         0.000000e+00
           2         1.464100e+02         1.484363e+02         1.432800e+00
           3         1.493349e+02         1.487358e+02         9.860107e-01
           4         1.429883e+02         1.472989e+02         1.447530e+00
           5         1.463676e+02         1.471127e+02         1.169947e+00
           6         1.466269e+02         1.470317e+02         9.777537e-01
           7         1.469457e+02         1.470194e+02         8.381518e-01
           8         1.492409e+02         1.472971e+02         7.780224e-01
           9         1.449403e+02         1.470352e+02         7.343239e-01
          10         1.402594e+02         1.463576e+02         9.219436e-01
          11         1.454534e+02         1.462754e+02         8.417871e-01
          12         1.459183e+02         1.462457e+02         7.721642e-01
          13         1.505594e+02         1.465775e+02         7.808174e-01
          14         1.474844e+02         1.466423e+02         7.277270e-01
          15         1.417973e+02         1.463193e+02         7.474641e-01
          16         1.498614e+02         1.465407e+02         7.327993e-01
          17         1.495650e+02         1.467186e+02         7.109602e-01
          18         1.492830e+02         1.468610e+02         6.855883e-01
          19         1.550951e+02         1.472944e+02         7.744575e-01
          20         1.516370e+02         1.475115e+02         7.655673e-01
