    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         9.159247e+01         9.159247e+01         0.000000e+00
           2         9.301129e+01         9.230188e+01         5.016299e-01
           3         9.409424e+01         9.289933e+01         5.914404e-01
           4         9.498188e+01         9.341997e+01         6.325037e-01
           5         9.420918e+01         9.357781e+01         5.253285e-01
           6         9.572235e+01         9.393524e+01         5.459904e-01
           7         9.453188e+01         9.402047e+01         4.745982e-01
           8         9.541741e+01         9.419509e+01         4.462420e-01
           9         9.670341e+01         9.447379e+01         4.757976e-01
          10         9.491682e+01         9.451809e+01         4.302756e-01
          11         9.525200e+01         9.458481e+01         3.962986e-01
          12         9.371765e+01         9.451255e+01         3.698035e-01
          13         9.601141e+01         9.462785e+01         3.588809e-01
          14         9.772365e+01         9.484897e+01         3.955483e-01
          15         9.578541e+01         9.491140e+01         3.740725e-01
          16         9.529600e+01         9.493544e+01         3.514645e-01
          17         9.610718e+01         9.500437e+01         3.374809e-01
          18         9.503188e+01         9.500590e+01         3.187354e-01
          19         9.945165e+01         9.523988e+01         3.782170e-01
          20         9.316106e+01         9.513594e+01         3.733155e-01
