    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         1.514524e+02         1.514524e+02         0.000000e+00
           2         1.555060e+02         1.534792e+02         1.433154e+00
           3         1.534004e+02         1.534530e+02         9.556765e-01
           4         1.483091e+02         1.521670e+02         1.324385e+00
           5         1.432273e+02         1.503791e+02         1.918319e+00
           6         1.473161e+02         1.498686e+02         1.665138e+00
           7         1.506470e+02         1.499798e+02         1.430969e+00
           8         1.424103e+02         1.490336e+02         1.533333e+00
           9         1.485183e+02         1.489763e+02         1.364031e+00
          10         1.492400e+02         1.490027e+02         1.227883e+00
          11         1.448474e+02         1.486249e+02         1.172925e+00
          12         1.506280e+02         1.487919e+02         1.086994e+00
          13         1.497261e+02         1.488637e+02         1.005752e+00
          14         1.415986e+02         1.483448e+02         1.059366e+00
          15         1.458191e+02         1.481764e+02         1.002033e+00
          16         1.439711e+02         1.479136e+02         9.732657e-01
          17         1.534461e+02         1.482390e+02         9.688998e-01
          18         1.508071e+02         1.483817e+02         9.255169e-01
          19         1.422027e+02         1.480565e+02         9.321926e-01
          20         1.485070e+02         1.480790e+02         8.858551e-01
