    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         9.328588e+01         9.328588e+01         0.000000e+00
           2         9.728400e+01         9.528494e+01         1.413548e+00
           3         9.350612e+01         9.469200e+01         1.059452e+00
           4         9.679576e+01         9.521794e+01         9.158779e-01
           5         9.487024e+01         9.514840e+01         7.353377e-01
           6         9.240306e+01         9.469084e+01         7.415971e-01
           7         9.518553e+01         9.476151e+01         6.390130e-01
           8         9.113871e+01         9.430866e+01         7.014792e-01
           9         9.324329e+01         9.419029e+01         6.334461e-01
          10         9.316059e+01         9.408732e+01         5.784101e-01
          11         9.375988e+01         9.405755e+01         5.265928e-01
          12         9.386506e+01         9.404151e+01         4.829543e-01
          13         9.684706e+01         9.425732e+01         4.916636e-01
          14         9.172706e+01         9.407659e+01         4.886352e-01
          15         9.452706e+01         9.410662e+01         4.569815e-01
          16         9.486988e+01         9.415432e+01         4.309028e-01
          17         9.594624e+01         9.425973e+01         4.182491e-01
          18         9.838282e+01         9.448879e+01         4.534195e-01
          19         9.251624e+01         9.438497e+01         4.412808e-01
          20         9.759000e+01         9.454522e+01         4.473692e-01
