    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         8.300444e+01         8.300444e+01         0.000000e+00
           2         8.501844e+01         8.401144e+01         7.120565e-01
           3         8.370989e+01         8.391093e+01         4.817470e-01
           4         8.474022e+01         8.411825e+01         4.034632e-01
           5         8.383611e+01         8.406182e+01         3.266927e-01
           6         8.332556e+01         8.393911e+01         2.943894e-01
           7         8.426011e+01         8.398497e+01         2.558804e-01
           8         8.156500e+01         8.368247e+01         3.608254e-01
           9         8.358033e+01         8.367112e+01         3.209121e-01
          10         8.238278e+01         8.354229e+01         3.136177e-01
          11         8.352889e+01         8.354107e+01         2.851093e-01
          12         8.265789e+01         8.346747e+01         2.706830e-01
          13         8.663611e+01         8.371121e+01         3.424479e-01
          14         8.168778e+01         8.356668e+01         3.471499e-01
          15         8.448067e+01         8.362761e+01         3.293107e-01
          16         8.269789e+01         8.356951e+01         3.138135e-01
          17         8.465789e+01         8.363353e+01         3.018140e-01
          18         8.715289e+01         8.382905e+01         3.425724e-01
          19         8.166411e+01         8.371511e+01         3.429688e-01
          20         8.649778e+01         8.385424e+01         3.529152e-01
