    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         1.889663e+02         1.889663e+02         0.000000e+00
           2         1.895175e+02         1.892419e+02         1.948895e-01
           3         1.839122e+02         1.874653e+02         1.456386e+00
           4         1.854295e+02         1.869564e+02         1.177866e+00
           5         1.927545e+02         1.881160e+02         1.401314e+00
           6         1.891265e+02         1.882844e+02         1.177838e+00
           7         1.831525e+02         1.875513e+02         1.216531e+00
           8         1.908472e+02         1.879633e+02         1.132081e+00
           9         1.913466e+02         1.883392e+02         1.066886e+00
          10         1.855249e+02         1.880578e+02         9.966247e-01
          11         1.888886e+02         1.881333e+02         9.088801e-01
          12         1.836205e+02         1.877572e+02         9.076151e-01
          13         1.910232e+02         1.880085e+02         8.718763e-01
          14         1.807263e+02         1.874883e+02         9.522003e-01
          15         1.870552e+02         1.874594e+02         8.891579e-01
          16         1.835752e+02         1.872167e+02         8.660920e-01
          17         1.874915e+02         1.872328e+02         8.152963e-01
          18         1.844503e+02         1.870783e+02         7.845203e-01
          19         1.780183e+02         1.866014e+02         8.762415e-01
          20         1.905486e+02         1.867988e+02         8.543665e-01
