    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         2.352757e+02         2.352757e+02         0.000000e+00
           2         2.389723e+02         2.371240e+02         1.306969e+00
           3         2.262918e+02         2.335133e+02         3.074204e+00
           4         2.274555e+02         2.319988e+02         2.652582e+00
           5         2.228210e+02         2.301633e+02         2.683022e+00
           6         2.417585e+02         2.320958e+02         2.848032e+00
           7         2.409033e+02         2.333540e+02         2.704860e+00
           8         2.374335e+02         2.338640e+02         2.414342e+00
           9         2.256775e+02         2.329544e+02         2.311086e+00
          10         2.391053e+02         2.335695e+02         2.160282e+00
          11         2.273788e+02         2.330067e+02         2.035880e+00
          12         2.515543e+02         2.345523e+02         2.381744e+00
          13         2.290290e+02         2.341274e+02         2.236107e+00
          14         2.344730e+02         2.341521e+02         2.076522e+00
          15         2.322305e+02         2.340240e+02         1.942034e+00
          16         2.450550e+02         2.347134e+02         1.939177e+00
          17         2.291113e+02         2.343839e+02         1.852896e+00
          18         2.388147e+02         2.346301e+02         1.766233e+00
          19         2.225615e+02         2.339949e+02         1.783836e+00
          20         2.461750e+02         2.346039e+02         1.795595e+00
