    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         2.910460e+03         2.910460e+03         0.000000e+00
           2         2.694077e+03         2.802268e+03         7.650306e+01
           3         2.824375e+03         2.809637e+03         5.135571e+01
           4         3.001898e+03         2.857702e+03         5.671195e+01
           5         3.039201e+03         2.894002e+03         5.579007e+01
           6         2.777102e+03         2.874519e+03         4.977764e+01
           7         2.782653e+03         2.861395e+03         4.436285e+01
           8         2.653032e+03         2.835350e+03         4.582974e+01
           9         2.570859e+03         2.805962e+03         4.926696e+01
          10         2.694086e+03         2.794774e+03         4.559282e+01
          11         2.648070e+03         2.781438e+03         4.335477e+01
          12         2.904798e+03         2.791718e+03         4.094250e+01
          13         2.771482e+03         2.790161e+03         3.782266e+01
          14         3.106490e+03         2.812756e+03         4.132255e+01
          15         2.838301e+03         2.814459e+03         3.860279e+01
          16         2.864138e+03         2.817564e+03         3.631477e+01
          17         2.961499e+03         2.826031e+03         3.515176e+01
          18         2.830723e+03         2.826291e+03         3.319985e+01
          19         2.959847e+03         2.833321e+03         3.218803e+01
          20         2.681741e+03         2.825742e+03         3.145824e+01
