    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         4.080816e+02         4.080816e+02         0.000000e+00
           2         4.016584e+02         4.048700e+02         2.270944e+00
           3         3.976342e+02         4.024581e+02         2.484022e+00
           4         4.234424e+02         4.077042e+02         4.910384e+00
           5         3.856186e+02         4.032870e+02         5.571381e+00
           6         4.386758e+02         4.091852e+02         7.109548e+00
           7         4.213464e+02         4.109225e+02         6.302594e+00
           8         3.839288e+02         4.075483e+02         6.354118e+00
           9         3.944492e+02         4.060928e+02         5.812406e+00
          10         4.116248e+02         4.066460e+02         5.257425e+00
          11         4.347586e+02         4.092017e+02         5.364809e+00
          12         3.986000e+02         4.083182e+02         4.989956e+00
          13         4.143554e+02         4.087826e+02         4.627673e+00
          14         4.204124e+02         4.096133e+02         4.371047e+00
          15         4.084046e+02         4.095327e+02         4.080387e+00
          16         4.190160e+02         4.101255e+02         3.868170e+00
          17         4.010394e+02         4.095910e+02         3.677370e+00
          18         4.174474e+02         4.100274e+02         3.498878e+00
          19         3.887512e+02         4.089076e+02         3.489322e+00
          20         4.151280e+02         4.092187e+02         3.328689e+00
