    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -7.940000e-02        -7.940000e-02         0.000000e+00
           2        -4.088000e-01        -2.441000e-01         1.164605e-01
           3         2.959000e-01        -6.410000e-02         1.662168e-01
           4        -1.464000e-01        -8.467500e-02         1.259296e-01
           5        -1.224000e-01        -9.222000e-02         1.009694e-01
           6         1.044000e-01        -5.945000e-02         8.930081e-02
           7         1.639000e-01        -2.754286e-02         8.204598e-02
           8        -1.006000e-01        -3.667500e-02         7.229668e-02
           9         6.490000e-02        -2.538889e-02         6.513868e-02
          10        -2.529000e-01        -4.814000e-02         6.247176e-02
          11         3.354000e-01        -1.327273e-02         6.580726e-02
          12         1.052000e-01        -3.400000e-03         6.105941e-02
          13         4.857000e-01         3.422308e-02         6.695779e-02
          14        -1.245000e-01         2.288571e-02         6.312763e-02
          15        -1.906000e-01         8.653333e-03         6.050222e-02
          16        -2.662000e-01        -8.525000e-03         5.910926e-02
          17         5.250000e-02        -4.935294e-03         5.574114e-02
          18         3.330000e-02        -2.811111e-03         5.268487e-02
          19         1.313000e-01         4.247368e-03         5.038259e-02
          20         1.091000e-01         9.490000e-03         4.813546e-02
