    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -2.289000e-01        -2.289000e-01         0.000000e+00
           2         8.928000e-01         3.319500e-01         3.965808e-01
           3         4.817000e-01         3.818667e-01         2.675102e-01
           4        -2.963000e-01         2.123250e-01         2.486197e-01
           5         3.367000e-01         2.372000e-01         2.001363e-01
           6         2.689000e-01         2.424833e-01         1.668500e-01
           7         5.296000e-01         2.835000e-01         1.479699e-01
           8        -4.784000e-01         1.882625e-01         1.571619e-01
           9         4.970000e-02         1.728667e-01         1.404515e-01
          10         8.730000e-02         1.643100e-01         1.266667e-01
          11         2.020000e-01         1.677364e-01         1.151979e-01
          12         5.177000e-01         1.969000e-01         1.092273e-01
          13        -2.704000e-01         1.609538e-01         1.065760e-01
          14         1.244000e-01         1.583429e-01         9.899542e-02
          15         4.167000e-01         1.755667e-01         9.388212e-02
          16        -1.872000e-01         1.528938e-01         9.071098e-02
          17        -3.057000e-01         1.259176e-01         8.929614e-02
          18         3.785000e-01         1.399500e-01         8.543068e-02
          19         3.071000e-01         1.487474e-01         8.138603e-02
          20        -2.786000e-01         1.273800e-01         8.007255e-02
