    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.590740e+01         1.590740e+01         0.000000e+00
           2         8.019000e-01         8.354650e+00         5.340601e+00
           3        -1.170000e-02         5.565867e+00         4.226266e+00
           4         1.297500e+00         4.498775e+00         3.301668e+00
           5         1.951860e+01         7.502740e+00         3.767717e+00
           6         1.996110e+01         9.579133e+00         3.667555e+00
           7         5.607800e+00         9.011800e+00         3.187197e+00
           8        -1.415000e+00         7.708450e+00         3.043644e+00
           9         5.238900e+00         7.434056e+00         2.717802e+00
          10        -2.115500e+00         6.479100e+00         2.608404e+00
          11        -9.349200e+00         5.040164e+00         2.739573e+00
          12        -7.975000e+00         3.955567e+00         2.717503e+00
          13         3.942600e+00         3.954569e+00         2.508464e+00
          14         2.102300e+01         5.173743e+00         2.608793e+00
          15        -5.179400e+00         4.483533e+00         2.524527e+00
          16         2.111250e+01         5.522844e+00         2.571796e+00
          17         1.711780e+01         6.204900e+00         2.509327e+00
          18        -6.877200e+00         5.478117e+00         2.472931e+00
          19         5.970700e+00         5.504042e+00         2.342913e+00
          20         3.114980e+01         6.786330e+00         2.552663e+00
