    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         4.359000e-01         4.359000e-01         0.000000e+00
           2        -6.780000e-01        -1.210500e-01         3.938231e-01
           3        -5.048300e+00        -1.763467e+00         1.366487e+00
           4        -4.664800e+00        -2.488800e+00         1.202052e+00
           5        -4.040600e+00        -2.799160e+00         1.000907e+00
           6         5.337100e+00        -1.443117e+00         1.492676e+00
           7        -1.295700e+00        -1.422057e+00         1.279585e+00
           8        -8.719000e-01        -1.353287e+00         1.121484e+00
           9         6.108400e+00        -5.242111e-01         1.266788e+00
          10        -4.964000e-01        -5.214300e-01         1.140112e+00
          11        -6.533000e+00        -1.067936e+00         1.160077e+00
          12        -1.652700e+00        -1.116667e+00         1.064427e+00
          13        -3.365300e+00        -1.289638e+00         9.965029e-01
          14        -5.134300e+00        -1.564257e+00         9.624206e-01
          15        -1.641900e+00        -1.569433e+00         8.982731e-01
          16        -2.894300e+00        -1.652238e+00         8.459390e-01
          17         4.524400e+00        -1.288906e+00         8.707145e-01
          18        -2.941500e+00        -1.380717e+00         8.271677e-01
          19        -1.509500e+00        -1.387495e+00         7.836603e-01
          20        -6.934900e+00        -1.664865e+00         7.920442e-01
