    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -1.030000e-01        -1.030000e-01         0.000000e+00
           2        -1.372000e-01        -1.201000e-01         1.209153e-02
           3        -1.710000e-01        -1.370667e-01         1.602785e-02
           4        -5.921000e-01        -2.508250e-01         9.924828e-02
           5        -1.523000e-01        -2.311200e-01         8.133124e-02
           6        -3.876000e-01        -2.572000e-01         7.183590e-02
           7         7.369000e-01        -1.151857e-01         1.451834e-01
           8        -9.790000e-02        -1.130250e-01         1.270515e-01
           9        -1.195000e-01        -1.137444e-01         1.129367e-01
          10        -7.300000e-02        -1.096700e-01         1.017165e-01
          11        -1.168000e-01        -1.103182e-01         9.247165e-02
          12        -1.404000e-01        -1.128250e-01         8.479965e-02
          13        -3.956000e-01        -1.345769e-01         8.101837e-02
          14        -6.710000e-02        -1.297571e-01         7.537457e-02
          15         2.948000e-01        -1.014533e-01         7.547692e-02
          16         1.724000e-01        -8.433750e-02         7.267437e-02
          17        -3.415000e-01        -9.946471e-02         6.995606e-02
          18         1.327000e-01        -8.656667e-02         6.724813e-02
          19        -3.242000e-01        -9.907368e-02         6.486138e-02
          20         5.585000e-01        -6.619500e-02         6.945339e-02
