    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.746000e-01         1.746000e-01         0.000000e+00
           2         1.460000e-01         1.603000e-01         1.011163e-02
           3        -1.954000e-01         4.173333e-02         9.704369e-02
           4        -1.229000e-01         5.750000e-04         8.104220e-02
           5        -5.360000e-02        -1.026000e-02         6.555405e-02
           6         4.309000e-01         6.326667e-02         8.654133e-02
           7         3.611000e-01         1.058143e-01         8.398871e-02
           8         4.800000e-01         1.525875e-01         8.552815e-02
           9        -1.025000e-01         1.242444e-01         8.058458e-02
          10         1.351000e-01         1.253300e-01         7.253343e-02
          11         4.350000e-02         1.178909e-01         6.631987e-02
          12        -4.814000e-01         6.795000e-02         7.734383e-02
          13        -1.777000e-01         4.905385e-02         7.366644e-02
          14        -2.210000e-02         4.397143e-02         6.857965e-02
          15        -3.487000e-01         1.779333e-02         6.882288e-02
          16         3.107000e-01         3.610000e-02         6.691193e-02
          17         2.602000e-01         4.928235e-02         6.426134e-02
          18         1.018000e-01         5.220000e-02         6.075747e-02
          19         2.788000e-01         6.412632e-02         5.871857e-02
          20        -7.310000e-02         5.726500e-02         5.618209e-02
