    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -6.845109e-01        -6.845109e-01         0.000000e+00
           2        -6.873766e-01        -6.859438e-01         1.013185e-03
           3        -6.852148e-01        -6.857008e-01         7.039895e-04
           4        -6.857776e-01        -6.857200e-01         5.282539e-04
           5        -6.838628e-01        -6.853486e-01         5.375570e-04
           6        -6.854354e-01        -6.853630e-01         4.481592e-04
           7        -6.865945e-01        -6.855390e-01         4.172400e-04
           8        -6.872525e-01        -6.857532e-01         4.164509e-04
           9        -6.862699e-01        -6.858106e-01         3.741159e-04
          10        -6.849360e-01        -6.857231e-01         3.467753e-04
          11        -6.865610e-01        -6.857993e-01         3.235085e-04
          12        -6.843939e-01        -6.856822e-01         3.170402e-04
          13        -6.858864e-01        -6.856979e-01         2.930415e-04
          14        -6.866763e-01        -6.857678e-01         2.803192e-04
          15        -6.850600e-01        -6.857206e-01         2.655729e-04
          16        -6.856366e-01        -6.857153e-01         2.490264e-04
          17        -6.876090e-01        -6.858267e-01         2.580912e-04
          18        -6.889283e-01        -6.859990e-01         2.957296e-04
          19        -6.840276e-01        -6.858953e-01         2.978112e-04
          20        -6.845887e-01        -6.858300e-01         2.899974e-04
