    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -5.043222e-01        -5.043222e-01         0.000000e+00
           2        -5.055978e-01        -5.049600e-01         4.509927e-04
           3        -5.048507e-01        -5.049236e-01         3.021304e-04
           4        -5.055307e-01        -5.050754e-01         2.619627e-04
           5        -5.044634e-01        -5.049530e-01         2.364441e-04
           6        -5.043098e-01        -5.048458e-01         2.199957e-04
           7        -5.062995e-01        -5.050535e-01         2.693025e-04
           8        -5.066664e-01        -5.052551e-01         3.018188e-04
           9        -5.036239e-01        -5.050738e-01         3.180808e-04
          10        -5.039842e-01        -5.049649e-01         3.043632e-04
          11        -5.060888e-01        -5.050670e-01         2.933431e-04
          12        -5.053000e-01        -5.050865e-01         2.695394e-04
          13        -5.054564e-01        -5.051149e-01         2.503033e-04
          14        -5.058752e-01        -5.051692e-01         2.382428e-04
          15        -5.039680e-01        -5.050891e-01         2.354355e-04
          16        -5.060452e-01        -5.051489e-01         2.281776e-04
          17        -5.056276e-01        -5.051771e-01         2.164862e-04
          18        -5.051884e-01        -5.051777e-01         2.044601e-04
          19        -5.055065e-01        -5.051950e-01         1.944302e-04
          20        -5.060840e-01        -5.052394e-01         1.897214e-04
