    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         1.636100e+00         1.636100e+00         0.000000e+00
           2        -2.727000e+00        -5.454500e-01         1.542589e+00
           3         4.203500e+00         1.037533e+00         1.651711e+00
           4         9.197000e-01         1.008075e+00         1.239046e+00
           5        -3.111900e+00         1.840800e-01         1.235202e+00
           6        -2.277600e+00        -2.262000e-01         1.095356e+00
           7         2.414500e+00         1.510429e-01         1.001734e+00
           8         1.634000e-01         1.525875e-01         8.765187e-01
           9         1.800400e+00         3.356778e-01         7.980209e-01
          10        -2.080600e+00         9.405000e-02         7.539124e-01
          11        -4.977000e-01         4.025455e-02         6.872915e-01
          12        -1.145800e+00        -5.858333e-02         6.370844e-01
          13        -2.260500e+00        -2.279615e-01         6.101785e-01
          14        -1.604000e+00        -3.262500e-01         5.744560e-01
          15        -3.328400e+00        -5.263933e-01         5.699590e-01
          16        -3.257000e-01        -5.138500e-01         5.344745e-01
          17         2.323000e-01        -4.699588e-01         5.048338e-01
          18         3.085000e-01        -4.267111e-01         4.786364e-01
          19         2.185800e+00        -2.892105e-01         4.727829e-01
          20         7.179000e-01        -2.388550e-01         4.518175e-01
