    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -3.437000e-01        -3.437000e-01         0.000000e+00
           2         1.530000e-01        -9.535000e-02         1.756100e-01
           3         5.945000e-01         1.346000e-01         2.212634e-01
           4         4.176000e-01         2.053500e-01         1.768976e-01
           5        -2.701000e-01         1.102600e-01         1.651092e-01
           6        -4.959000e-01         9.233333e-03         1.656400e-01
           7         2.247000e-01         4.001429e-02         1.448089e-01
           8         4.056000e-01         8.571250e-02         1.337242e-01
           9         6.624000e-01         1.497889e-01         1.333368e-01
          10        -1.480000e-01         1.200100e-01         1.232836e-01
          11         3.968000e-01         1.451727e-01         1.146152e-01
          12        -3.404000e-01         1.047083e-01         1.119792e-01
          13         1.641000e-01         1.092769e-01         1.034586e-01
          14        -7.200000e-03         1.009571e-01         9.640261e-02
          15        -4.740000e-02         9.106667e-02         9.048171e-02
          16        -5.392000e-01         5.167500e-02         9.300685e-02
          17        -7.855000e-01         2.429412e-03         9.972462e-02
          18         6.630000e-01         3.912778e-02         1.007107e-01
          19        -1.700000e-03         3.697895e-02         9.543305e-02
          20        -2.399000e-01         2.313500e-02         9.166003e-02
