    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -2.990000e-01        -2.990000e-01         0.000000e+00
           2         2.525000e-01        -2.325000e-02         1.949847e-01
           3         1.230500e+00         3.946667e-01         3.651487e-01
           4        -3.761000e-01         2.019750e-01         3.206988e-01
           5        -4.605000e-01         6.948000e-02         2.826066e-01
           6        -2.727000e-01         1.245000e-02         2.411912e-01
           7         3.622000e-01         6.241429e-02         2.118473e-01
           8         8.535000e-01         1.613000e-01         2.071637e-01
           9         7.658000e-01         2.284667e-01         1.947297e-01
          10        -1.028600e+00         1.027600e-01         2.119832e-01
          11         1.264000e-01         1.049091e-01         1.927229e-01
          12        -8.712000e-01         2.356667e-02         1.930671e-01
          13        -4.897000e-01        -1.591538e-02         1.822081e-01
          14        -1.293200e+00        -1.071500e-01         1.906713e-01
          15        -1.071100e+00        -1.714133e-01         1.884786e-01
          16         3.603000e-01        -1.381812e-01         1.796045e-01
          17        -1.014900e+00        -1.897529e-01         1.762882e-01
          18         9.530000e-01        -1.262667e-01         1.775584e-01
          19         1.229800e+00        -5.489474e-02         1.819932e-01
          20        -4.670000e-01        -7.550000e-02         1.740561e-01
