    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         4.756000e-01         4.756000e-01         0.000000e+00
           2        -5.364000e-01        -3.040000e-02         3.577960e-01
           3         1.783100e+00         5.741000e-01         5.481883e-01
           4        -3.459000e-01         3.441000e-01         4.568502e-01
           5        -2.969000e-01         2.159000e-01         3.830456e-01
           6        -6.690000e-01         6.841667e-02         3.464358e-01
           7         3.214000e-01         1.045571e-01         2.988241e-01
           8         8.525000e-01         1.980500e-01         2.757089e-01
           9         9.880000e-02         1.870222e-01         2.452951e-01
          10        -9.606000e-01         7.226000e-02         2.461519e-01
          11         5.862000e-01         1.189818e-01         2.281655e-01
          12        -1.409000e+00        -8.350000e-03         2.420882e-01
          13        -9.770000e-01        -8.286154e-02         2.346529e-01
          14        -7.131000e-01        -1.278786e-01         2.221681e-01
          15        -4.428000e-01        -1.488733e-01         2.083466e-01
          16         3.691000e-01        -1.165000e-01         1.978240e-01
          17        -2.117500e+00        -2.342059e-01         2.184157e-01
          18         6.105000e-01        -1.872778e-01         2.112628e-01
          19         2.161100e+00        -6.367895e-02         2.335169e-01
          20        -2.430000e-02        -6.171000e-02         2.218493e-01
