    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -3.707000e-01        -3.707000e-01         0.000000e+00
           2        -9.000000e-02        -2.303500e-01         9.924244e-02
           3         3.884000e-01        -2.410000e-02         1.809330e-01
           4         3.752000e-01         7.572500e-02         1.608981e-01
           5         1.521000e-01         9.100000e-02         1.294415e-01
           6        -3.283000e-01         2.111667e-02         1.253205e-01
           7        -2.050000e-01        -1.118571e-02         1.115030e-01
           8         2.657000e-01         2.342500e-02         1.027964e-01
           9         2.515000e-01         4.876667e-02         9.444663e-02
          10        -2.488000e-01         1.901000e-02         8.956700e-02
          11         4.732000e-01         6.030000e-02         9.044243e-02
          12         2.970000e-02         5.775000e-02         8.294150e-02
          13         6.400000e-02         5.823077e-02         7.656278e-02
          14        -1.573000e-01         4.283571e-02         7.262532e-02
          15        -3.435000e-01         1.708000e-02         7.220633e-02
          16        -3.001000e-01        -2.743750e-03         7.036207e-02
          17        -5.071000e-01        -3.241176e-02         7.220746e-02
          18         1.297000e-01        -2.340556e-02         6.875530e-02
          19         1.558000e-01        -1.397368e-02         6.578035e-02
          20        -2.960000e-02        -1.475500e-02         6.249597e-02
