    # BLOCK:          ACTUAL_P:          P_AVE:              ERROR:
         118         4.764697e-02         4.997911e-02         2.041960e-04
         119         4.888973e-02         4.996996e-02         2.026852e-04
         120         5.508389e-02         5.001258e-02         2.054275e-04
         121         4.846327e-02         4.999977e-02         2.041284e-04
         122         4.935904e-02         4.999452e-02         2.025228e-04
         123         4.786972e-02         4.997724e-02         2.016116e-04
         124         5.018347e-02         4.997891e-02         1.999926e-04
         125         5.131091e-02         4.998956e-02         1.986763e-04
         126         4.753187e-02         4.997006e-02         1.980547e-04
         127         4.808421e-02         4.995521e-02         1.970511e-04
         128         4.797358e-02         4.993973e-02         1.961189e-04
         129         4.826567e-02         4.992675e-02         1.950275e-04
         130         5.303098e-02         4.995063e-02         1.949836e-04
         131         4.814657e-02         4.993686e-02         1.939809e-04
         132         4.986901e-02         4.993634e-02         1.925120e-04
         133         4.841008e-02         4.992487e-02         1.914063e-04
         134         4.765771e-02         4.990795e-02         1.907242e-04
         135         4.966278e-02         4.990613e-02         1.893200e-04
         136         4.779922e-02         4.989064e-02         1.885608e-04
         137         5.044125e-02         4.989466e-02         1.872272e-04
         138         4.848756e-02         4.988446e-02         1.861480e-04
         139         4.832568e-02         4.987325e-02         1.851463e-04
         140         4.498799e-02         4.983835e-02         1.870832e-04
         141         5.066424e-02         4.984421e-02         1.858480e-04
         142         4.719379e-02         4.982555e-02         1.854742e-04
         143         5.091668e-02         4.983318e-02         1.843340e-04
         144         4.695303e-02         4.981318e-02         1.841358e-04
         145         5.046328e-02         4.981766e-02         1.829205e-04
         146         4.941258e-02         4.981488e-02         1.816887e-04
         147         4.935617e-02         4.981176e-02         1.804795e-04
         148         4.698734e-02         4.979268e-02         1.802662e-04
         149         4.739359e-02         4.977658e-02         1.797740e-04
         150         5.266543e-02         4.979584e-02         1.796041e-04
         151         4.916759e-02         4.979168e-02         1.784629e-04
         152         5.247534e-02         4.980933e-02         1.781600e-04
         153         4.745755e-02         4.979396e-02         1.776574e-04
         154         5.617486e-02         4.983540e-02         1.812712e-04
         155         5.102002e-02         4.984304e-02         1.802627e-04
         156         5.177349e-02         4.985541e-02         1.795314e-04
         157         4.903437e-02         4.985018e-02         1.784641e-04
         158         4.983850e-02         4.985011e-02         1.773346e-04
         159         4.979965e-02         4.984979e-02         1.762195e-04
         160         4.839453e-02         4.984070e-02         1.753527e-04
         161         5.081426e-02         4.984674e-02         1.743678e-04
         162         4.717744e-02         4.983027e-02         1.740683e-04
         163         5.251302e-02         4.984673e-02         1.737767e-04
         164         5.029048e-02         4.984943e-02         1.727382e-04
         165         4.630040e-02         4.982792e-02         1.730253e-04
         166         5.229008e-02         4.984275e-02         1.726175e-04
         167         4.998354e-02         4.984360e-02         1.715859e-04
         168         4.777014e-02         4.983126e-02         1.710079e-04
         169         4.688776e-02         4.981384e-02         1.708807e-04
         170         5.034313e-02         4.981695e-02         1.699038e-04
         171         4.543451e-02         4.979132e-02         1.708322e-04
         172         4.825691e-02         4.978240e-02         1.700718e-04
         173         4.652475e-02         4.976357e-02         1.701279e-04
