    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -7.675743e-01        -7.675743e-01         0.000000e+00
           2        -7.694194e-01        -7.684968e-01         6.523201e-04
           3        -7.647084e-01        -7.672340e-01         1.119031e-03
           4        -7.674727e-01        -7.672937e-01         8.408625e-04
           5        -7.670637e-01        -7.672477e-01         6.739469e-04
           6        -7.694726e-01        -7.676185e-01         6.557485e-04
           7        -7.683368e-01        -7.677211e-01         5.700417e-04
           8        -7.683447e-01        -7.677991e-01         5.040877e-04
           9        -7.650642e-01        -7.674952e-01         5.318384e-04
          10        -7.683537e-01        -7.675811e-01         4.855336e-04
          11        -7.712080e-01        -7.679108e-01         5.419079e-04
          12        -7.628914e-01        -7.674925e-01         6.380727e-04
          13        -7.669579e-01        -7.674514e-01         5.903140e-04
          14        -7.696600e-01        -7.676091e-01         5.688384e-04
          15        -7.687216e-01        -7.676833e-01         5.357290e-04
          16        -7.684812e-01        -7.677332e-01         5.045616e-04
          17        -7.675104e-01        -7.677201e-01         4.750517e-04
          18        -7.651796e-01        -7.675789e-01         4.691582e-04
          19        -7.644010e-01        -7.674117e-01         4.733431e-04
          20        -7.697810e-01        -7.675301e-01         4.642645e-04
