    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -8.642578e-01        -8.642578e-01         0.000000e+00
           2        -8.611098e-01        -8.626838e-01         1.112972e-03
           3        -8.556588e-01        -8.603422e-01         2.050882e-03
           4        -8.626658e-01        -8.609231e-01         1.618343e-03
           5        -8.604862e-01        -8.608357e-01         1.297031e-03
           6        -8.604113e-01        -8.607650e-01         1.082786e-03
           7        -8.614908e-01        -8.608686e-01         9.330544e-04
           8        -8.614092e-01        -8.609362e-01         8.188652e-04
           9        -8.576908e-01        -8.605756e-01         8.033663e-04
          10        -8.582423e-01        -8.603423e-01         7.561546e-04
          11        -8.682230e-01        -8.610587e-01         9.690961e-04
          12        -8.580362e-01        -8.608068e-01         9.204876e-04
          13        -8.652225e-01        -8.611465e-01         9.101951e-04
          14        -8.677381e-01        -8.616173e-01         9.592577e-04
          15        -8.614484e-01        -8.616061e-01         8.953734e-04
          16        -8.633849e-01        -8.617172e-01         8.462869e-04
          17        -8.645688e-01        -8.618850e-01         8.129583e-04
          18        -8.606052e-01        -8.618139e-01         7.708965e-04
          19        -8.554709e-01        -8.614800e-01         7.993467e-04
          20        -8.591889e-01        -8.613655e-01         7.675441e-04
