    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -1.003475e+00        -1.003475e+00         0.000000e+00
           2        -1.000045e+00        -1.001760e+00         1.212801e-03
           3        -9.997690e-01        -1.001096e+00         9.733561e-04
           4        -1.006360e+00        -1.002412e+00         1.353361e-03
           5        -1.002555e+00        -1.002441e+00         1.082990e-03
           6        -1.003388e+00        -1.002599e+00         9.139345e-04
           7        -1.004325e+00        -1.002845e+00         8.159582e-04
           8        -1.001629e+00        -1.002693e+00         7.279807e-04
           9        -1.006478e+00        -1.003114e+00         7.588704e-04
          10        -1.002604e+00        -1.003063e+00         6.846915e-04
          11        -1.007924e+00        -1.003505e+00         7.516558e-04
          12        -1.006519e+00        -1.003756e+00         7.297921e-04
          13        -1.001768e+00        -1.003603e+00         6.894890e-04
          14        -1.009208e+00        -1.004004e+00         7.475041e-04
          15        -1.003134e+00        -1.003946e+00         6.999120e-04
          16        -1.006873e+00        -1.004129e+00         6.796669e-04
          17        -1.005997e+00        -1.004238e+00         6.485084e-04
          18        -1.005168e+00        -1.004290e+00         6.145326e-04
          19        -1.008287e+00        -1.004500e+00         6.171447e-04
          20        -9.969066e-01        -1.004121e+00         6.933190e-04
