    #generation:          shortest_distance:          average_of_top_200:
         159              4.996578e+00                   5.023788e+00
         160              4.996578e+00                   5.048947e+00
         161              4.996578e+00                   5.070940e+00
         162              4.996578e+00                   4.997799e+00
         163              4.996578e+00                   5.022531e+00
         164              4.996578e+00                   5.076270e+00
         165              4.996578e+00                   5.026845e+00
         166              4.996578e+00                   4.997007e+00
         167              4.996578e+00                   5.065207e+00
         168              4.996578e+00                   5.000032e+00
         169              4.996578e+00                   4.996578e+00
         170              4.996578e+00                   4.996578e+00
         171              4.996578e+00                   4.996578e+00
         172              4.996578e+00                   4.996578e+00
         173              4.996578e+00                   4.996578e+00
         174              4.996578e+00                   4.997284e+00
         175              4.996578e+00                   4.996578e+00
         176              4.996578e+00                   4.996578e+00
         177              4.996578e+00                   4.996578e+00
         178              4.996578e+00                   4.996578e+00
         179              4.996578e+00                   5.003140e+00
         180              4.996578e+00                   4.996578e+00
         181              4.996578e+00                   5.003138e+00
         182              4.996578e+00                   5.003504e+00
         183              4.996578e+00                   5.002495e+00
         184              4.996578e+00                   5.033088e+00
         185              4.996578e+00                   5.030769e+00
         186              4.996578e+00                   5.010564e+00
         187              4.996578e+00                   4.996578e+00
         188              4.996578e+00                   4.996578e+00
         189              4.996578e+00                   4.996578e+00
         190              4.996578e+00                   4.996578e+00
         191              4.996578e+00                   4.996578e+00
         192              4.996578e+00                   4.996578e+00
         193              4.996578e+00                   4.996578e+00
         194              4.996578e+00                   4.996578e+00
         195              4.996578e+00                   4.996578e+00
         196              4.996578e+00                   5.001763e+00
         197              4.996578e+00                   5.004367e+00
         198              4.996578e+00                   5.044907e+00
         199              4.996578e+00                   5.046293e+00
         200              4.996578e+00                   5.026737e+00
         201              4.996578e+00                   5.019914e+00
         202              4.996578e+00                   5.043321e+00
         203              4.996578e+00                   5.015290e+00
         204              4.996578e+00                   5.030611e+00
         205              4.996578e+00                   5.050190e+00
         206              4.996578e+00                   5.027809e+00
         207              4.996578e+00                   4.998564e+00
         208              4.996578e+00                   4.999508e+00
         209              4.996578e+00                   5.011538e+00
         210              4.996578e+00                   5.005174e+00
         211              4.996578e+00                   5.006778e+00
         212              4.996578e+00                   5.017076e+00
         213              4.996578e+00                   5.015012e+00
         214              4.996578e+00                   5.014162e+00
         215              4.996578e+00                   5.033308e+00
         216              4.996578e+00                   5.012516e+00
         217              4.996578e+00                   5.000545e+00
         218              4.996578e+00                   4.998222e+00
         219              4.996578e+00                   5.079807e+00
         220              4.996578e+00                   5.007948e+00
         221              4.996578e+00                   5.000250e+00
         222              4.996578e+00                   5.000523e+00
         223              4.996578e+00                   4.996578e+00
         224              4.996578e+00                   4.996578e+00
         225              4.996578e+00                   4.996578e+00
         226              4.996578e+00                   4.996578e+00
         227              4.996578e+00                   4.996592e+00
         228              4.996578e+00                   4.996578e+00
         229              4.996578e+00                   4.996578e+00
         230              4.996578e+00                   4.996789e+00
         231              4.996578e+00                   4.996578e+00
         232              4.996578e+00                   4.996897e+00
         233              4.996578e+00                   4.996578e+00
         234              4.996578e+00                   5.001877e+00
         235              4.996578e+00                   5.038767e+00
         236              4.996578e+00                   5.009491e+00
         237              4.996578e+00                   4.999451e+00
         238              4.996578e+00                   4.999421e+00
         239              4.996578e+00                   5.017826e+00
         240              4.996578e+00                   4.998304e+00
         241              4.996578e+00                   4.996578e+00
         242              4.996578e+00                   4.996578e+00
         243              4.996578e+00                   4.996578e+00
         244              4.996578e+00                   4.996578e+00
         245              4.996578e+00                   4.996578e+00
         246              4.996578e+00                   4.996578e+00
         247              4.996578e+00                   4.996578e+00
         248              4.996578e+00                   4.996578e+00
         249              4.996578e+00                   4.996860e+00
         250              4.996578e+00                   4.996578e+00
         251              4.996578e+00                   4.996578e+00
         252              4.996578e+00                   4.996578e+00
         253              4.996578e+00                   4.996578e+00
         254              4.996578e+00                   4.996578e+00
         255              4.996578e+00                   4.996578e+00
         256              4.996578e+00                   4.996578e+00
         257              4.996578e+00                   4.996578e+00
         258              4.996578e+00                   5.020278e+00
         259              4.996578e+00                   5.000299e+00
         260              4.996578e+00                   4.996578e+00
         261              4.996578e+00                   4.999653e+00
         262              4.996578e+00                   5.036735e+00
         263              4.996578e+00                   5.076425e+00
         264              4.996578e+00                   5.067012e+00
         265              4.996578e+00                   5.059332e+00
         266              4.996578e+00                   5.066459e+00
         267              4.996578e+00                   5.052709e+00
         268              4.996578e+00                   5.032702e+00
         269              4.996578e+00                   5.022270e+00
