    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         9.938945e+00         9.938945e+00         0.000000e+00
           2         9.816374e+00         9.877660e+00         4.333517e-02
           3         1.007136e+01         9.942226e+00         6.011538e-02
           4         9.794436e+00         9.905278e+00         5.528689e-02
           5         9.942408e+00         9.912704e+00         4.472544e-02
           6         9.768685e+00         9.888701e+00         4.323506e-02
           7         9.879406e+00         9.887373e+00         3.707901e-02
           8         9.843768e+00         9.881922e+00         3.284232e-02
           9         9.885750e+00         9.882348e+00         2.919593e-02
          10         9.823844e+00         9.876497e+00         2.685609e-02
          11         9.969211e+00         9.884926e+00         2.570323e-02
          12         9.815421e+00         9.879134e+00         2.420510e-02
          13         9.842097e+00         9.876285e+00         2.251021e-02
          14         9.666582e+00         9.861306e+00         2.540166e-02
          15         9.982672e+00         9.869397e+00         2.496359e-02
          16         9.850315e+00         9.868205e+00         2.343184e-02
          17         9.955476e+00         9.873338e+00         2.260886e-02
          18         9.877439e+00         9.873566e+00         2.135396e-02
          19         9.852396e+00         9.872452e+00         2.025911e-02
          20         9.953082e+00         9.876483e+00         1.964319e-02
