    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.775458e+01         1.775458e+01         0.000000e+00
           2         1.771866e+01         1.773662e+01         1.269918e-02
           3         1.765530e+01         1.770951e+01         2.369752e-02
           4         1.740645e+01         1.763375e+01         6.798014e-02
           5         1.723875e+01         1.755475e+01         8.916522e-02
           6         1.768507e+01         1.757647e+01         7.690424e-02
           7         1.713541e+01         1.751346e+01         8.802261e-02
           8         1.768039e+01         1.753433e+01         7.945454e-02
           9         1.742689e+01         1.752239e+01         7.151745e-02
          10         1.777405e+01         1.754755e+01         6.865077e-02
          11         1.739376e+01         1.753357e+01         6.381768e-02
          12         1.715990e+01         1.750243e+01         6.565841e-02
          13         1.746054e+01         1.749921e+01         6.068681e-02
          14         1.758197e+01         1.750512e+01         5.663919e-02
          15         1.784018e+01         1.752746e+01         5.709830e-02
          16         1.770181e+01         1.753836e+01         5.455957e-02
          17         1.773251e+01         1.754978e+01         5.253191e-02
          18         1.751455e+01         1.754782e+01         4.964991e-02
          19         1.748069e+01         1.754429e+01         4.716228e-02
          20         1.752576e+01         1.754336e+01         4.481326e-02
