    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.866395e+01         1.866395e+01         0.000000e+00
           2         1.904342e+01         1.885369e+01         1.341627e-01
           3         1.901618e+01         1.890785e+01         9.977815e-02
           4         1.922145e+01         1.898625e+01         1.010447e-01
           5         1.827155e+01         1.884331e+01         1.512620e-01
           6         1.932441e+01         1.892349e+01         1.457631e-01
           7         1.910450e+01         1.894935e+01         1.272128e-01
           8         1.923243e+01         1.898474e+01         1.161280e-01
           9         1.831673e+01         1.891051e+01         1.247087e-01
          10         1.892163e+01         1.891163e+01         1.122428e-01
          11         1.881788e+01         1.890310e+01         1.023620e-01
          12         1.881751e+01         1.889597e+01         9.407997e-02
          13         1.865517e+01         1.887745e+01         8.864773e-02
          14         1.860764e+01         1.885818e+01         8.438468e-02
          15         1.904987e+01         1.887096e+01         7.972086e-02
          16         1.911632e+01         1.888629e+01         7.619905e-02
          17         1.935767e+01         1.891402e+01         7.659574e-02
          18         1.880116e+01         1.890775e+01         7.259661e-02
          19         1.907810e+01         1.891671e+01         6.932719e-02
          20         1.936035e+01         1.893890e+01         6.931867e-02
