    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.311850e+01         2.311850e+01         0.000000e+00
           2         2.382227e+01         2.347039e+01         2.488208e-01
           3         2.425990e+01         2.373356e+01         2.714566e-01
           4         2.232905e+01         2.338243e+01         3.659468e-01
           5         2.286349e+01         2.327864e+01         3.071232e-01
           6         2.448519e+01         2.347973e+01         3.149626e-01
           7         2.385565e+01         2.353344e+01         2.745081e-01
           8         2.549410e+01         2.377852e+01         3.320408e-01
           9         2.566388e+01         2.398800e+01         3.551333e-01
          10         2.644953e+01         2.423416e+01         3.958395e-01
          11         2.591965e+01         2.438738e+01         3.883799e-01
          12         2.587721e+01         2.451154e+01         3.753345e-01
          13         2.494179e+01         2.454463e+01         3.479188e-01
          14         2.189171e+01         2.435514e+01         3.711008e-01
          15         2.472985e+01         2.438012e+01         3.472005e-01
          16         2.278157e+01         2.428021e+01         3.395711e-01
          17         2.503917e+01         2.432485e+01         3.225178e-01
          18         2.512135e+01         2.436910e+01         3.076207e-01
          19         2.329634e+01         2.431264e+01         2.965664e-01
          20         2.449554e+01         2.432179e+01         2.818790e-01
