    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.130947e+01         2.130947e+01         0.000000e+00
           2         2.064488e+01         2.097718e+01         2.349654e-01
           3         2.042701e+01         2.079379e+01         2.166980e-01
           4         2.243773e+01         2.120477e+01         3.912752e-01
           5         2.094874e+01         2.115357e+01         3.163531e-01
           6         2.118873e+01         2.115943e+01         2.636819e-01
           7         2.008784e+01         2.100634e+01         2.667748e-01
           8         2.160218e+01         2.108082e+01         2.436029e-01
           9         2.014165e+01         2.097647e+01         2.378388e-01
          10         2.090115e+01         2.096894e+01         2.141741e-01
          11         2.065042e+01         2.093998e+01         1.966515e-01
          12         2.210955e+01         2.103745e+01         2.029846e-01
          13         2.046473e+01         2.099339e+01         1.920917e-01
          14         2.177609e+01         2.104930e+01         1.863290e-01
          15         2.140047e+01         2.107271e+01         1.753717e-01
          16         2.163329e+01         2.110775e+01         1.678743e-01
          17         2.184321e+01         2.115101e+01         1.634790e-01
          18         2.166228e+01         2.117941e+01         1.568450e-01
          19         2.156801e+01         2.119987e+01         1.499175e-01
          20         2.214881e+01         2.124731e+01         1.497417e-01
