    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.132926e+01         2.132926e+01         0.000000e+00
           2         2.050026e+01         2.091476e+01         2.930986e-01
           3         2.094714e+01         2.092555e+01         1.955977e-01
           4         2.112052e+01         2.097429e+01         1.526509e-01
           5         2.080583e+01         2.094060e+01         1.257841e-01
           6         2.041497e+01         2.085300e+01         1.318439e-01
           7         2.073680e+01         2.083640e+01         1.140493e-01
           8         2.060223e+01         2.080713e+01         1.034811e-01
           9         2.092406e+01         2.082012e+01         9.279530e-02
          10         2.082399e+01         2.082051e+01         8.351658e-02
          11         2.016472e+01         2.076089e+01         9.484479e-02
          12         2.120467e+01         2.079787e+01         9.387437e-02
          13         2.116989e+01         2.082649e+01         9.091055e-02
          14         2.071036e+01         2.081819e+01         8.479455e-02
          15         2.031680e+01         2.078477e+01         8.547642e-02
          16         2.133160e+01         2.081894e+01         8.669807e-02
          17         2.094693e+01         2.082647e+01         8.192441e-02
          18         2.171728e+01         2.087596e+01         9.110282e-02
          19         2.098052e+01         2.088147e+01         8.647399e-02
          20         2.136616e+01         2.090570e+01         8.547885e-02
