    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.341522e+01         1.341522e+01         0.000000e+00
           2         1.354238e+01         1.347880e+01         4.495860e-02
           3         1.361175e+01         1.352311e+01         4.698684e-02
           4         1.381467e+01         1.359600e+01         7.229407e-02
           5         1.356966e+01         1.359073e+01         5.802693e-02
           6         1.343930e+01         1.356549e+01         5.356448e-02
           7         1.354775e+01         1.356296e+01         4.597237e-02
           8         1.348934e+01         1.355376e+01         4.113650e-02
           9         1.350561e+01         1.354841e+01         3.691198e-02
          10         1.339607e+01         1.353317e+01         3.622805e-02
          11         1.343232e+01         1.352401e+01         3.407494e-02
          12         1.339823e+01         1.351352e+01         3.280787e-02
          13         1.341453e+01         1.350591e+01         3.115545e-02
          14         1.346009e+01         1.350264e+01         2.910148e-02
          15         1.332353e+01         1.349070e+01         2.950939e-02
          16         1.377652e+01         1.350856e+01         3.262728e-02
          17         1.348618e+01         1.350724e+01         3.073458e-02
          18         1.354048e+01         1.350909e+01         2.908251e-02
          19         1.338434e+01         1.350252e+01         2.828327e-02
          20         1.351459e+01         1.350313e+01         2.687554e-02
