    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         9.966709e+00         9.966709e+00         0.000000e+00
           2         9.738028e+00         9.852369e+00         8.085085e-02
           3         1.000039e+01         9.901710e+00         6.729247e-02
           4         9.956986e+00         9.915529e+00         5.186891e-02
           5         9.952124e+00         9.922848e+00         4.200832e-02
           6         9.674165e+00         9.881401e+00         5.154648e-02
           7         9.867746e+00         9.879450e+00         4.421959e-02
           8         9.792036e+00         9.868523e+00         4.001940e-02
           9         9.701569e+00         9.849973e+00         3.963975e-02
          10         9.930944e+00         9.858070e+00         3.649340e-02
          11         9.876754e+00         9.859768e+00         3.321532e-02
          12         9.937709e+00         9.866263e+00         3.107592e-02
          13         1.002028e+01         9.878111e+00         3.086135e-02
          14         9.933900e+00         9.882096e+00         2.891310e-02
          15         9.660276e+00         9.867308e+00         3.053402e-02
          16         9.888930e+00         9.868659e+00         2.865553e-02
          17         9.981402e+00         9.875291e+00         2.772673e-02
          18         9.794753e+00         9.870817e+00         2.654492e-02
          19         9.706148e+00         9.862150e+00         2.652494e-02
          20         9.773219e+00         9.857704e+00         2.556868e-02
