    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.157677e+01         2.157677e+01         0.000000e+00
           2         2.080598e+01         2.119137e+01         2.725168e-01
           3         2.169148e+01         2.135808e+01         2.270094e-01
           4         2.227336e+01         2.158690e+01         2.612598e-01
           5         2.181862e+01         2.163324e+01         2.130786e-01
           6         2.117071e+01         2.155615e+01         1.910019e-01
           7         2.103951e+01         2.148235e+01         1.774036e-01
           8         2.123987e+01         2.145204e+01         1.577962e-01
           9         2.225520e+01         2.154128e+01         1.635625e-01
          10         2.156463e+01         2.154361e+01         1.472229e-01
          11         2.203715e+01         2.158848e+01         1.405096e-01
          12         2.162540e+01         2.159156e+01         1.288342e-01
          13         2.192072e+01         2.161688e+01         1.213864e-01
          14         2.137056e+01         2.159928e+01         1.139839e-01
          15         2.087346e+01         2.155089e+01         1.162027e-01
          16         2.225049e+01         2.159462e+01         1.168773e-01
          17         2.158576e+01         2.159410e+01         1.100033e-01
          18         2.202396e+01         2.161798e+01         1.064527e-01
          19         2.129981e+01         2.160123e+01         1.021586e-01
          20         2.196188e+01         2.161926e+01         9.862926e-02
