    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -3.625000e-01        -3.625000e-01         0.000000e+00
           2        -1.569100e+00        -9.658000e-01         4.265975e-01
           3         3.110800e+00         3.930667e-01         1.145380e+00
           4        -4.937000e-01         1.713750e-01         8.802279e-01
           5         6.147000e-01         2.600400e-01         7.086339e-01
           6        -8.340000e-01         7.770000e-02         6.135390e-01
           7         6.012000e-01         1.524857e-01         5.304289e-01
           8         2.967000e-01         1.705125e-01         4.644315e-01
           9         1.012100e+00         2.640222e-01         4.221368e-01
          10        -6.150000e-01         1.761200e-01         3.889675e-01
          11        -1.733100e+00         2.554545e-03         3.904153e-01
          12        -1.398500e+00        -1.142000e-01         3.749323e-01
          13        -1.566200e+00        -2.258923e-01         3.623462e-01
          14        -1.670700e+00        -3.290929e-01         3.508531e-01
          15        -3.449000e-01        -3.301467e-01         3.274644e-01
          16         1.219000e-01        -3.018938e-01         3.082143e-01
          17        -9.056000e-01        -3.374059e-01         2.921227e-01
          18         3.177000e-01        -3.010111e-01         2.781516e-01
          19         1.699900e+00        -1.957000e-01         2.827460e-01
          20         1.602300e+00        -1.058000e-01         2.825395e-01
