    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -3.884000e-01        -3.884000e-01         0.000000e+00
           2        -7.710000e-02        -2.327500e-01         1.100612e-01
           3         3.318000e-01        -4.456667e-02         1.702716e-01
           4         4.870000e-01         8.832500e-02         1.719109e-01
           5         1.604000e-01         1.027400e-01         1.381318e-01
           6        -2.650000e-01         4.145000e-02         1.279870e-01
           7        -1.500000e-01         1.410000e-02         1.125874e-01
           8         3.417000e-01         5.505000e-02         1.056991e-01
           9         1.390000e-01         6.437778e-02         9.436544e-02
          10        -2.616000e-01         3.178000e-02         9.038402e-02
          11         4.902000e-01         7.345455e-02         9.127072e-02
          12         5.090000e-02         7.157500e-02         8.368417e-02
          13         1.200000e-02         6.699231e-02         7.737231e-02
          14        -6.300000e-03         6.175714e-02         7.202261e-02
          15        -2.056000e-01         4.393333e-02         6.939153e-02
          16        -3.412000e-01         1.986250e-02         6.910346e-02
          17        -5.034000e-01        -1.091765e-02         7.156606e-02
          18         8.040000e-02        -5.844444e-03         6.776974e-02
          19         3.274000e-01         1.169474e-02         6.643377e-02
          20        -2.930000e-02         9.645000e-03         6.314370e-02
