    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -1.063000e-01        -1.063000e-01         0.000000e+00
           2        -2.310000e-02        -6.470000e-02         2.941564e-02
           3         5.447000e-01         1.384333e-01         1.670130e-01
           4         4.130000e-01         2.070750e-01         1.386498e-01
           5        -2.277000e-01         1.201200e-01         1.354701e-01
           6        -2.634000e-01         5.620000e-02         1.270801e-01
           7         1.420000e-02         5.020000e-02         1.090673e-01
           8         2.459000e-01         7.466250e-02         9.813891e-02
           9         3.984000e-01         1.106333e-01         9.359491e-02
          10        -9.200000e-03         9.865000e-02         8.499910e-02
          11         4.109000e-01         1.270364e-01         8.187478e-02
          12        -9.210000e-02         1.087750e-01         7.706149e-02
          13         3.952000e-01         1.308077e-01         7.421657e-02
          14        -1.860000e-02         1.201357e-01         6.967845e-02
          15        -3.612000e-01         8.804667e-02         7.204429e-02
          16        -4.792000e-01         5.259375e-02         7.576417e-02
          17        -7.446000e-01         5.700000e-03         8.458382e-02
          18         5.524000e-01         3.607222e-02         8.516332e-02
          19         3.832000e-01         5.434211e-02         8.261750e-02
          20         1.443000e-01         5.884000e-02         7.860897e-02
