    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -1.556200e+00        -1.556200e+00         0.000000e+00
           2        -2.096600e+00        -1.826400e+00         1.910603e-01
           3         4.755000e-01        -1.059100e+00         6.393149e-01
           4        -1.280400e+00        -1.114425e+00         4.818741e-01
           5        -7.823400e+00        -2.456220e+00         1.260532e+00
           6        -3.043700e+00        -2.554133e+00         1.054239e+00
           7         5.618900e+00        -1.386557e+00         1.408915e+00
           8        -3.496600e+00        -1.650313e+00         1.257246e+00
           9         4.945800e+00        -9.174111e-01         1.313919e+00
          10        -2.859900e+00        -1.111660e+00         1.196800e+00
          11         5.074000e-01        -9.644727e-01         1.097014e+00
          12        -4.237000e-01        -9.194083e-01         1.006521e+00
          13        -2.346600e+00        -1.029192e+00         9.350643e-01
          14        -3.984700e+00        -1.240300e+00         8.917864e-01
          15        -4.686500e+00        -1.470047e+00         8.614200e-01
          16         2.411700e+00        -1.227437e+00         8.410517e-01
          17        -1.806400e+00        -1.261494e+00         7.922673e-01
          18         4.218000e+00        -9.570778e-01         8.046134e-01
          19         2.241200e+00        -7.887474e-01         7.796745e-01
          20         3.010200e+00        -5.988000e-01         7.634781e-01
