    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         9.195200e+00         9.195200e+00         0.000000e+00
           2         2.607100e+00         5.901150e+00         2.329245e+00
           3         6.331000e+00         6.044433e+00         1.557231e+00
           4         2.553600e+00         5.171725e+00         1.391136e+00
           5        -1.675360e+01         7.866600e-01         4.076960e+00
           6        -1.047880e+01        -1.090917e+00         3.805328e+00
           7         2.082710e+01         2.040229e+00         4.363742e+00
           8         4.940000e-02         1.791375e+00         3.825363e+00
           9        -4.298000e-01         1.544578e+00         3.408275e+00
          10         2.526000e-01         1.415380e+00         3.069895e+00
          11         1.951100e+00         1.464082e+00         2.791200e+00
          12         9.000000e-02         1.349575e+00         2.560948e+00
          13         3.035500e+00         1.479262e+00         2.367233e+00
          14        -5.065000e-01         1.337421e+00         2.202390e+00
          15        -7.569500e+00         7.436267e-01         2.134111e+00
          16        -7.283900e+00         2.419063e-01         2.058861e+00
          17        -4.262200e+00        -2.304118e-02         1.954725e+00
          18         3.230800e+00         1.577278e-01         1.854469e+00
          19         7.474800e+00         5.428368e-01         1.796407e+00
          20         3.477200e+00         6.895550e-01         1.712568e+00
