    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -2.333000e-01        -2.333000e-01         0.000000e+00
           2         7.930000e-02        -7.700000e-02         1.105208e-01
           3         7.148000e-01         1.869333e-01         2.277484e-01
           4         3.010000e-01         2.154500e-01         1.725874e-01
           5        -3.863000e-01         9.510000e-02         1.750731e-01
           6        -4.757000e-01        -3.333333e-05         1.697855e-01
           7         1.308000e-01         1.865714e-02         1.465555e-01
           8         4.990000e-01         7.870000e-02         1.399964e-01
           9         5.502000e-01         1.310889e-01         1.338853e-01
          10        -2.041000e-01         9.757000e-02         1.246219e-01
          11         5.131000e-01         1.353455e-01         1.188802e-01
          12        -4.332000e-01         8.796667e-02         1.180377e-01
          13        -4.942000e-01         4.318462e-02         1.171452e-01
          14        -1.457000e-01         2.969286e-02         1.095518e-01
          15         2.164000e-01         4.214000e-02         1.029531e-01
          16        -4.194000e-01         1.329375e-02         1.004785e-01
          17        -8.339000e-01        -3.654118e-02         1.062098e-01
          18         7.425000e-01         6.738889e-03         1.087706e-01
          19        -3.423000e-01        -1.163158e-02         1.045857e-01
          20        -3.115000e-01        -2.662500e-02         1.004254e-01
