    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         9.096000e-01         9.096000e-01         0.000000e+00
           2         1.283100e+00         1.096350e+00         1.320522e-01
           3         1.688100e+00         1.293600e+00         1.835443e-01
           4         1.692400e+00         1.393300e+00         1.624957e-01
           5         1.552300e+00         1.425100e+00         1.330718e-01
           6         1.071100e+00         1.366100e+00         1.232807e-01
           7         1.072700e+00         1.324186e+00         1.125691e-01
           8         1.705000e+00         1.371787e+00         1.080950e-01
           9         1.597600e+00         1.396878e+00         9.895353e-02
          10         1.064900e+00         1.363680e+00         9.446292e-02
          11         1.817100e+00         1.404900e+00         9.444155e-02
          12         1.364200e+00         1.401508e+00         8.663230e-02
          13         1.363100e+00         1.398554e+00         8.001864e-02
          14         1.227700e+00         1.386350e+00         7.522789e-02
          15         1.179300e+00         1.372547e+00         7.146784e-02
          16         1.081800e+00         1.354375e+00         6.927279e-02
          17         8.640000e-01         1.325529e+00         7.094992e-02
          18         1.539200e+00         1.337400e+00         6.799404e-02
          19         1.433800e+00         1.342474e+00         6.460443e-02
          20         1.265900e+00         1.338645e+00         6.148755e-02
