    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         9.934900e+00         9.934900e+00         0.000000e+00
           2         9.045000e+00         9.489950e+00         3.146272e-01
           3         1.240460e+01         1.046150e+01         8.205295e-01
           4         8.510800e+00         9.973825e+00         7.463804e-01
           5         1.064020e+01         1.010710e+01         6.088870e-01
           6         9.253000e+00         9.964750e+00         5.237814e-01
           7         1.015660e+01         9.992157e+00         4.496720e-01
           8         1.078280e+01         1.009099e+01         4.041777e-01
           9         1.062880e+01         1.015074e+01         3.636597e-01
          10         1.021660e+01         1.015733e+01         3.273534e-01
          11         8.787000e+00         1.003275e+01         3.204222e-01
          12         9.084300e+00         9.953717e+00         3.033118e-01
          13         9.663900e+00         9.931423e+00         2.807982e-01
          14         8.538000e+00         9.831893e+00         2.778213e-01
          15         9.686900e+00         9.822227e+00         2.594680e-01
          16         1.051080e+01         9.865263e+00         2.467944e-01
          17         9.885800e+00         9.866471e+00         2.322800e-01
          18         1.170050e+01         9.968361e+00         2.406877e-01
          19         1.194170e+01         1.007222e+01         2.494238e-01
          20         1.235570e+01         1.018640e+01         2.617832e-01
