    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         3.572770e+01         3.572770e+01         0.000000e+00
           2         3.964470e+01         3.768620e+01         1.384869e+00
           3         3.496140e+01         3.677793e+01         1.184208e+00
           4         3.446760e+01         3.620035e+01         1.019325e+00
           5         2.759880e+01         3.448004e+01         1.741421e+00
           6         2.862170e+01         3.350365e+01         1.703051e+00
           7         4.220620e+01         3.474687e+01         1.858950e+00
           8         3.206180e+01         3.441124e+01         1.656603e+00
           9         3.769990e+01         3.477664e+01         1.512299e+00
          10         3.157920e+01         3.445690e+01         1.394462e+00
          11         4.002920e+01         3.496347e+01         1.356588e+00
          12         3.759090e+01         3.518243e+01         1.261085e+00
          13         3.342100e+01         3.504693e+01         1.171334e+00
          14         3.245190e+01         3.486157e+01         1.102236e+00
          15         3.997970e+01         3.520278e+01         1.080276e+00
          16         3.397880e+01         3.512628e+01         1.015464e+00
          17         3.721830e+01         3.524934e+01         9.631583e-01
          18         3.319890e+01         3.513543e+01         9.163610e-01
          19         3.699300e+01         3.523319e+01         8.733313e-01
          20         3.747370e+01         3.534522e+01         8.368189e-01
