    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         4.017300e+00         4.017300e+00         0.000000e+00
           2         4.231600e+00         4.124450e+00         7.576649e-02
           3         5.687100e+00         4.645333e+00         4.282884e-01
           4         4.364000e+00         4.575000e+00         3.269404e-01
           5         4.397000e+00         4.539400e+00         2.634834e-01
           6         4.248600e+00         4.490933e+00         2.239828e-01
           7         4.906300e+00         4.550271e+00         1.996906e-01
           8         4.671300e+00         4.565400e+00         1.753014e-01
           9         5.254800e+00         4.642000e+00         1.717456e-01
          10         3.800100e+00         4.557810e+00         1.739867e-01
          11         4.642600e+00         4.565518e+00         1.583404e-01
          12         4.454800e+00         4.556292e+00         1.454139e-01
          13         3.756100e+00         4.494738e+00         1.466785e-01
          14         4.420700e+00         4.489450e+00         1.362967e-01
          15         4.250000e+00         4.473487e+00         1.281417e-01
          16         4.031600e+00         4.445869e+00         1.230731e-01
          17         3.362500e+00         4.382141e+00         1.313000e-01
          18         5.120700e+00         4.423172e+00         1.302590e-01
          19         4.669100e+00         4.436116e+00         1.240447e-01
          20         3.941800e+00         4.411400e+00         1.202795e-01
