    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         8.145700e+00         8.145700e+00         0.000000e+00
           2         6.574800e+00         7.360250e+00         5.553970e-01
           3         9.759400e+00         8.159967e+00         7.506400e-01
           4         7.260300e+00         7.935050e+00         5.957240e-01
           5         7.129900e+00         7.774020e+00         4.978677e-01
           6         6.741800e+00         7.601983e+00         4.436185e-01
           7         7.776800e+00         7.626957e+00         3.809467e-01
           8         8.298400e+00         7.710888e+00         3.424494e-01
           9         8.133900e+00         7.757889e+00         3.076080e-01
          10         7.018400e+00         7.683940e+00         2.855976e-01
          11         6.816500e+00         7.605082e+00         2.703020e-01
          12         6.345100e+00         7.500083e+00         2.673936e-01
          13         7.032200e+00         7.464092e+00         2.492353e-01
          14         6.687900e+00         7.408650e+00         2.375193e-01
          15         6.737800e+00         7.363927e+00         2.258560e-01
          16         7.992900e+00         7.403238e+00         2.151339e-01
          17         6.047900e+00         7.323512e+00         2.167487e-01
          18         8.105400e+00         7.366950e+00         2.090145e-01
          19         8.776900e+00         7.441158e+00         2.107758e-01
          20         7.492300e+00         7.443715e+00         2.002525e-01
