    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         4.330400e+01         4.330400e+01         0.000000e+00
           2         4.754460e+01         4.542430e+01         1.499279e+00
           3         3.669410e+01         4.251423e+01         2.577731e+00
           4         4.629530e+01         4.345950e+01         2.099473e+00
           5         4.636060e+01         4.403972e+01         1.757927e+00
           6         4.494810e+01         4.419112e+01         1.471444e+00
           7         4.748650e+01         4.466189e+01         1.334423e+00
           8         4.717800e+01         4.497640e+01         1.204114e+00
           9         4.699650e+01         4.520086e+01         1.091043e+00
          10         4.328210e+01         4.500898e+01         9.986684e-01
          11         4.733960e+01         4.522085e+01         9.300842e-01
          12         4.506070e+01         4.520751e+01         8.526729e-01
          13         3.959700e+01         4.477593e+01         8.896239e-01
          14         4.452580e+01         4.475806e+01         8.262588e-01
          15         4.519540e+01         4.478722e+01         7.716891e-01
          16         4.666710e+01         4.490471e+01         7.323482e-01
          17         4.574590e+01         4.495419e+01         6.909385e-01
          18         4.633280e+01         4.503078e+01         6.567842e-01
          19         4.238910e+01         4.489175e+01         6.367630e-01
          20         4.748950e+01         4.502163e+01         6.180302e-01
