    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         8.700011e+01         8.700011e+01         0.000000e+00
           2         8.743756e+01         8.721883e+01         1.546600e-01
           3         8.504089e+01         8.649285e+01         6.016619e-01
           4         8.446567e+01         8.598606e+01         6.294881e-01
           5         8.415378e+01         8.561960e+01         6.008619e-01
           6         8.521600e+01         8.555233e+01         5.044695e-01
           7         8.517367e+01         8.549824e+01         4.352931e-01
           8         8.387333e+01         8.529513e+01         4.256393e-01
           9         8.529733e+01         8.529537e+01         3.783461e-01
          10         8.545211e+01         8.531104e+01         3.408360e-01
          11         8.592456e+01         8.536682e+01         3.143811e-01
          12         8.434922e+01         8.528202e+01         2.994011e-01
          13         8.671278e+01         8.539208e+01         2.959081e-01
          14         8.669256e+01         8.548497e+01         2.889844e-01
          15         8.551744e+01         8.548713e+01         2.697269e-01
          16         8.428756e+01         8.541216e+01         2.630826e-01
          17         8.331400e+01         8.528874e+01         2.750382e-01
          18         8.739989e+01         8.540602e+01         2.836657e-01
          19         8.767378e+01         8.552538e+01         2.927711e-01
          20         8.537444e+01         8.551783e+01         2.782298e-01
